train set size,test set,c0,c1,c2,rmse,kfold rmse
1,flores,0.0,0.0,0.0,3.01695210435963,3.01695210435963
1,bible,0.006099435979927107,-2.545588012757109e-09,-2.9184623774313407,8.480833825896166,8.555942574470544
1,gov,-5.1596860501160174e-09,-1.4645029049028624e-07,-3.0723957941348528,9.71249003570645,9.714807838706195
10,flores,-4.1167736007586375e-09,-0.9785309811451813,-1.8603917959854275,5.310337032911303,5.2492922023064885
10,bible,-2.2401205427963974e-07,1.2110591988560966e-08,-3.6547352679863656,13.227129461721603,13.309892390433983
10,gov,-7.727548971592984e-10,0.005674330504596768,-3.936537571391415,17.189712212144922,17.212054285539875
25,flores,-1.3175022187500892e-07,-8.152957915852104e-09,-2.8857884995399345,6.320990666683447,6.359455681170105
25,bible,-6.083578138576494e-09,-7.857506935112985e-05,-3.84844999711161,15.089019303790828,15.296121903426622
25,gov,8.850283036897944e-05,-1.6727719380594618e-10,-4.071929400300144,19.1178646735815,19.031442760607256
50,flores,-4.683303385528686e-09,-1.3224247546167336,-2.6157718747357572,0.6157866544735756,0.7293393884023486
50,bible,0.0,0.0,0.0,1.457166199626293,1.457166199626293
50,gov,-2.0037063010657866e-09,3.5576021725468134,-8.08484903277654,3.347171201515266,3.295923000215984
