train set size,test set,c0,c1,c2,rmse,kfold rmse
1,flores,0.0,0.0,0.0,3.7177950454536886,3.7177950454536886
1,bible,1.856941962211168,2.6629549309131955,-5.511920494096537e-10,8.400980480191354,8.508423234003606
1,gov,1.75993262870297,2.977877017338376,-8.205885496863403e-10,9.543215187863153,9.654311869551643
10,flores,1.9584664621773362,2.0470457248923806,-8.380484901437767e-10,5.5504916382710965,5.52011136893518
10,bible,2.4478286225289585,3.117220303185334,-3.0471438468258667e-09,13.170232526978142,13.268359421308887
10,gov,2.5646803308350097,3.3977398541042247,-9.362068775031965e-09,16.970046117291325,17.190072755815805
25,flores,2.322482275882476,2.062851382384025,1.0998733580442693e-09,6.6525694711658945,6.635373174583505
25,bible,2.73339410832436,3.182116533864182,-2.6246577299941183e-09,15.02143984678664,15.12633095596479
25,gov,2.7608615823481224,3.4591044892049996,-4.960099723794401e-09,18.840645705465665,19.087876376004353
50,flores,3.611029122200009,2.2541731929792337,-5.720068851571589e-09,4.883749977414451,5.012967149923546
50,bible,0.0,0.0,0.0,2.335950912726264,2.335950912726264
50,gov,4.335618462990398,4.724575360425715,-0.962964047971269,2.365293975987519,6.012805554880792
