train set size,test set,c0,"c1,1","c1,2","c2,1","c2,2",rmse,kfold rmse
1,flores,0.0,0.0,0.0,0.0,0.0,3.7177950454536886,3.7177950454536886
1,bible,6.40464724465509,-1.7087551333937202e-09,0.000581002964980159,8.702905239105975e-05,-0.0013814034348976793,8.771027578636064,9.212392848095515
1,gov,7.3853294354173,5.344687626437606e-07,-1.1164208693283653e-06,2.1272250268894224e-06,-8.359671269951849e-10,9.945967512706789,9.861522886558973
10,flores,4.566655031490104,9.952765922320429e-06,-4.1879931895071506e-09,0.0020757466263911163,-0.002077965834275439,5.942954277851252,5.728205780622639
10,bible,10.220940566545673,2.24535139023737,-0.002839979269013991,-3.0986746834545157e-09,0.06914942602829095,13.49564825897108,13.613460538689234
10,gov,15.049041716224242,-3.002862264659484e-10,0.013973332154979952,0.051777443604558944,-0.12994848823466768,17.20654189258937,17.03483440632688
25,flores,5.452575830235441,-1.9998750538111954e-09,-0.007455952187890171,2.3287964716365092e-07,-0.030514734244196616,7.138766016645867,6.8316297793467555
25,bible,13.228799552130626,2.9176715034499567,-0.1655168693748004,-5.7193122417737335e-11,-0.0015228011762616737,15.075485614407247,15.447212328572475
25,gov,17.578738608257275,-9.028575960581146e-10,-0.13455711019612088,0.05055875190242605,-8.047638490809085e-05,18.98611110931121,18.84139046926327
50,flores,11.705259029508165,2.5308997986491675e-12,5.532414332595961e-07,1.4714394739071074e-05,1.626407064258835e-05,4.232063890546462,3.631905683280614
50,bible,0.0,0.0,0.0,0.0,0.0,2.335950912726264,2.335950912726264
50,gov,39.66101725033656,-1.1773774192283201e-09,0.2800427564700635,0.00019400062694297884,0.20359554072442124,5.900194878088638,5.234635032568536
