train set size,test set,c0,c1,c2,rmse,kfold rmse
1,flores,0.0,0.0,0.0,3.7177950454536886,3.7177950454536886
1,bible,1.615731377731727,-9.458147277056325e-12,2.3967472867770807,8.413170847762576,8.5030391506637
1,gov,1.7097492173102176,7.755341337146772e-09,2.4733305498181806,9.645790143744367,9.590804695119074
10,flores,1.8625240849753888,-3.0764294546396785e-10,1.7757911493628218,5.646400317137625,5.6245905958731415
10,bible,2.051396238402896,1.9438208278243289e-10,2.823893225708053,13.169199991365932,13.252663941308667
10,gov,2.4598017205183336,0.19148344891370572,2.6940480485793206,16.959100652614108,17.12547838764767
25,flores,2.1560662935611807,-1.0416809606475387e-09,1.8293906212003308,6.766024280394908,6.635873437120435
25,bible,2.572804100710139,7.541503217114153e-08,2.701787784240802,15.01484411218461,15.123287066017312
25,gov,2.6229130227992545,0.2841075176521112,2.682380705456099,18.811212184855258,19.019419721396968
50,flores,3.3953920544416563,2.3628227006155464,-8.973307062783008e-11,4.941899548163615,4.928922644890825
50,bible,0.0,0.0,0.0,2.335950912726264,2.335950912726264
50,gov,5.646586638708301,1.1495236854649336,1.9069563092439819,3.716259256663903,5.980633388006378
