train set size,test set,c0,c1,rmse,kfold rmse
1,flores,0.0,0.0,3.7177950454536886,3.7177950454536886
1,bible,6.411194633586563,-3.0666366384489593e-10,8.769133615558449,9.033524815103403
1,gov,7.389735199152012,-2.2511688826233518e-09,9.944859178568533,9.733000267383664
10,flores,4.49524874236731,-1.877680524117244e-09,5.973470433449685,5.716758345375029
10,bible,12.59336255188364,3.044325029389944e-10,13.269430274974557,13.630009466069817
10,gov,15.729746635213072,-2.3403164719276073e-09,17.101732822998596,16.95135520035231
25,flores,5.917412123178411,-5.927304370575883e-10,6.952589543157105,6.722269237389761
25,bible,14.845392507151283,-2.7785958753745013e-09,15.074797889339566,15.383529344221683
25,gov,17.479450178452172,7.73457919102403e-09,18.996141828444678,18.825548865747386
50,flores,11.688642356340331,-3.549952262947798e-10,4.241884472968738,3.5034664061904195
50,bible,0.0,0.0,2.335950912726264,2.335950912726264
50,gov,39.72009407389851,2.0751045579070173e-08,5.942326275934277,5.6136328003835425
