train set,train set size,test set,c0,c1,rmse,kfold rmse
gov,1,flores,2.099993015413108,-2.300211566323108e-09,3.3433568354003382,2.987976121266968
gov,1,bible,0.0,0.0,1.1410521460476728,1.1410521460476728
gov,1,gov,16.817113327835877,6.468324332230719e-11,4.407062796417552,4.5823667038916485
gov,10,flores,9.340001347772159,-1.5472365031428997e-11,4.252574897774199,3.7036130124952904
gov,10,bible,0.0,0.0,2.3958297101421877,2.3958297101421877
gov,10,gov,32.323177901705236,-1.0877225121051514e-09,4.477108658676433,4.4754520713300305
gov,25,flores,12.023471952845142,-2.9386999364264006e-10,4.499057548891006,4.065543483561383
gov,25,bible,0.0,0.0,2.874369496080836,2.874369496080836
gov,25,gov,36.13863537254162,-2.61322603906371e-09,5.081521548816338,5.0318897973321
gov,50,flores,11.67481205093104,-7.676532936161839e-10,4.25008715756908,3.515166686523276
gov,50,bible,0.0,0.0,2.335950912726264,2.335950912726264
gov,50,gov,39.8918728813243,-3.1016705064299184e-09,5.8688117510589395,5.594958202687073
bible,1,flores,0.0,0.0,1.2473972903610142,1.2473972903610142
bible,1,bible,14.390529366765007,-1.083333142957083e-09,4.033821490114963,3.83763514867473
bible,1,gov,0.0,0.0,0.74565407529229,0.74565407529229
bible,10,flores,0.0,0.0,2.4240462041801103,2.4240462041801103
bible,10,bible,25.132286690710558,-6.8655388500443e-10,4.369327870908907,4.211714052007902
bible,10,gov,0.0,0.0,1.4676511847165867,1.4676511847165867
bible,25,flores,0.0,0.0,2.7542694131112158,2.7542694131112158
bible,25,bible,29.32941912446653,-2.1832637976187597e-09,4.4589374741607735,4.44776644023113
bible,25,gov,0.0,0.0,1.6792855623746665,1.6792855623746665
