train set size,test set,c0,"c1,1","c1,2","c1,3","c2,1","c2,2","c2,3",rmse,kfold rmse
1,flores,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7177950454536886,3.7177950454536886
1,bible,6.3643988158814455,-8.039607460213549e-11,0.0010874724856270639,0.00045868373979578587,-0.016332207094682253,0.0006385608138052186,0.0032048572937592914,8.784260974155885,9.179862448470326
1,gov,7.603352523273468,-4.256886593203648e-10,-0.016192814715354865,0.019768673680469303,-0.008710178004578465,-0.020099718200843948,-0.01705319913368366,9.89522477462698,9.787239775929907
10,flores,4.562288831225824,-1.1440822564424554e-09,7.786969305130713e-08,-1.0807094171403473e-06,-3.900620399479642e-09,2.596711598356476e-07,4.429687722222764e-07,5.944994643329457,5.716855305346828
10,bible,13.245492753606424,-2.8911789573363596e-10,0.030625833613374235,0.022948215955037588,-0.030865855692571595,0.00871453602818974,0.00561348246719133,13.174735577869162,13.554902789075308
10,gov,16.78271680928475,-4.062662957068687e-09,-0.10251114439935562,0.005939531101896299,0.016462395092726807,0.0017570609590215054,-0.03915252982911553,16.993666120604125,16.94633496249948
25,flores,5.949528386969269,6.166641790302501e-05,5.7082204547988255e-06,2.2513426922459833e-06,3.773654546788908e-06,-4.309194683596955e-06,-2.29309160781124e-08,6.94094380320193,6.774202472206804
25,bible,13.190566484371587,6.363848451739904e-09,0.02201590448066874,-0.0005322805155215943,0.044424010275825834,-0.05408114902944514,0.01904615208259683,15.40874542365753,15.445394713690186
25,gov,18.0800482653184,-2.7054544330872185e-10,-0.044675294930122296,0.11233153188267951,-0.009493818645865912,-0.040586733101767414,0.036639321304487264,18.92535208690689,18.827300040186014
50,flores,11.692469088489348,-7.359306568839295e-10,4.592062726607964e-06,1.530790377476778e-06,-2.9079113227095476e-06,3.481782349036402e-06,-4.225131969126236e-07,4.239619706213514,3.5699151135947416
50,bible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.335950912726264,2.335950912726264
50,gov,39.8129872175204,-1.0970398532606202e-09,-3.4478103572655648e-06,4.728936499053531e-05,-1.1707149387348733e-05,-0.00024934712985740274,-3.21263409214638e-09,5.9020813463310455,5.389605668436116
