train set size,test set,c0,c1,c2,rmse,kfold rmse
1,flores,0.0,0.0,0.0,3.01695210435963,3.01695210435963
1,bible,-1.1639315843463047e-07,-2.919731867091284,-9.04425394436485e-09,8.480847336342952,8.903263660494517
1,gov,9.07943135967476e-09,-3.072577103103164,-1.9921091118138993e-08,9.712443442688523,9.709319744514422
10,flores,1.9519189699069774e-07,-2.6090301175821726,-4.724423734814977e-09,5.274257252830935,5.637461639019077
10,bible,-9.541664556780623e-10,-3.6546247854928797,-3.8297066533406876e-07,13.227150389293532,13.459247409392335
10,gov,-3.0256981048715084e-09,-3.9207748073338804,2.7169832910239076e-06,17.19168717582336,17.20847916084148
25,flores,-1.402772855766319e-09,-2.8858187518428524,-5.265139854775888e-07,6.320978543942375,6.30865245617306
25,bible,0.0002373048664502923,-3.8637833972085622,-6.399822435768842e-09,15.086636652006495,15.331784384389433
25,gov,-2.7115459407890984e-06,-4.063662274274374,5.133134883273064e-10,19.118678617246466,19.14522969970429
50,flores,-4.439979460156106e-10,-2.737124595450914,-0.7769580947658321,0.9431351796850622,2.9803344084791052
50,bible,0.0,0.0,0.0,1.457166199626293,1.457166199626293
50,gov,-2.9458532289512887e-09,-5.986690531961101,0.6803713074888071,9.744407321885332,108.4173139555863
