train set,train set size,test set,c0,c1,rmse,kfold rmse
gov,1,flores,2.1000135151035875,-2.1090926568853398e-10,3.3433415059121256,3.053218451908604
gov,1,bible,0.0,0.0,1.1410521460476728,1.1410521460476728
gov,1,gov,16.637760821401315,-2.5097567637747765e-09,4.504175941644647,4.523532920561774
gov,10,flores,9.214467319143873,-5.188560294149774e-09,4.327565351364954,3.6785460807390638
gov,10,bible,0.0,0.0,2.3958297101421877,2.3958297101421877
gov,10,gov,32.259933177081614,3.513961839149998e-08,4.5118437510681,4.489025215359676
gov,25,flores,11.924094927247078,-1.2947138015578745e-09,4.549713036502941,4.067300692551301
gov,25,bible,0.0,0.0,2.874369496080836,2.874369496080836
gov,25,gov,36.13225026584669,-1.807958329241494e-09,5.0845922909649435,5.064986687331648
gov,50,flores,11.684213089340991,-1.4513244271715614e-09,4.244508269444794,3.556371820631169
gov,50,bible,0.0,0.0,2.335950912726264,2.335950912726264
gov,50,gov,39.8333325619233,2.075086105016189e-07,5.893405261479752,5.600875883880248
bible,1,flores,0.0,0.0,1.2473972903610142,1.2473972903610142
bible,1,bible,14.520009027214293,-3.812454666003488e-10,3.9506398044991315,3.7790312670735675
bible,1,gov,0.0,0.0,0.74565407529229,0.74565407529229
bible,10,flores,0.0,0.0,2.4240462041801103,2.4240462041801103
bible,10,bible,25.140000071540747,4.6488941822767174e-10,4.364905456163054,4.261332130529185
bible,10,gov,0.0,0.0,1.4676511847165867,1.4676511847165867
bible,25,flores,0.0,0.0,2.7542694131112158,2.7542694131112158
bible,25,bible,29.333038467672882,-4.743734007438653e-09,4.456965592172412,4.447433880706007
bible,25,gov,0.0,0.0,1.6792855623746665,1.6792855623746665
