train set size,test set,c0,c1,c2,c3,rmse,kfold rmse
1,flores,0.0,0.0,0.0,0.0,3.7177950454536886,3.7177950454536886
1,bible,5.483975611843321,-1.4828127728510444e-09,0.04758671074011499,0.00023953365326671205,9.065556160449182,9.058791239402048
1,gov,7.390162808791924,0.0013860662627763166,0.00047896100810905615,-2.4216104294543337e-09,9.944498252486815,9.727344202376193
10,flores,4.557614487647826,0.0002717061442215213,-8.458365036835358e-10,7.102686630866478e-07,5.946905743342893,5.745784729772463
10,bible,9.007640853250203,-2.5585830788273116e-09,3.5402628806567606,0.24643318897297134,13.494356529027817,13.683515628662471
10,gov,11.594188530271797,-1.2709273346219976e-09,4.707657449249221,0.02090271991155238,17.227387907010137,17.000289804954964
25,flores,5.976958021327468,0.00010645514068971069,-2.5892565575906956e-09,-6.39751766320799e-06,6.931103311200586,6.716993307500581
25,bible,14.504085233290647,4.22789141816639e-09,1.7055932449743328e-06,0.0033695379570454777,15.130160021595517,15.494183427741074
25,gov,17.543485019069657,-1.3152118157833452e-09,0.0008920909576565439,0.0001583442682316243,18.987560175261027,18.825524206376336
50,flores,10.474445259388801,-0.0008258453142666354,-3.5161883315778832e-09,0.08389812502301022,5.047114215614696,3.4845649072790623
50,bible,0.0,0.0,0.0,0.0,2.335950912726264,2.335950912726264
50,gov,39.98332005006526,-3.369843024997664e-09,0.006490273413102918,-0.0008478356468870443,5.829231497457563,4.041757335581933
