train set size,test set,c0,c1,c2,rmse,kfold rmse
1,flores,0.0,0.0,0.0,3.7177950454536886,3.7177950454536886
1,bible,1.4955011666502724,-2.3727710136914753,-4.020391079666404e-09,8.463847221688518,8.544137563417678
1,gov,1.5314935999779913,-2.49322762536953,4.1670394802286185e-09,9.692360008840053,9.691050836804173
10,flores,1.2187901715748695,-2.3032430726690474,-9.529099114970052e-09,5.30450879614373,5.265474078136762
10,bible,1.7650787544231838,-2.8768873688795535,-2.0002267920939436e-10,13.184663402942528,13.288239880682896
10,gov,2.206448483168701,-2.8468855880964443,1.2946882398416888e-08,17.105486145740503,17.018146102541007
25,flores,1.2145591645483442,-2.618870629759307,-9.621381244800037e-09,6.332873537223242,6.325347614635429
25,bible,1.8720147241815694,-3.0040444016437715,-2.399095563388455e-12,15.029698896632004,15.155070159858015
25,gov,2.090293464527429,-3.3548669824676716,0.51049385391694,18.904327089380732,18.850869613365795
50,flores,1.1135755388461854,-3.2524833838479865,-0.551080788346475,1.1639525194345777,1.2521190858390019
50,bible,0.0,0.0,0.0,2.335950912726264,2.335950912726264
50,gov,2.2179987523591764,-5.19550326662497,2.070422513861293,1.234712514176153,1.3360871122791673
