train set size,test set,c0,c1,c2,rmse,kfold rmse
1,flores,0.0,0.0,0.0,3.7177950454536886,3.7177950454536886
1,bible,6.7045354129395625,-4.2416301042493405e-09,-0.00015059792278975233,8.689753769480046,8.958617459741367
1,gov,7.398638112085917,-0.0004263071173112471,-4.264221348433558e-09,9.942546666109292,9.985393898311054
10,flores,4.562188124934012,-1.5204766699521925e-05,-2.2598873709476986e-09,5.945031610508471,5.718047251872668
10,bible,12.339979132812774,-5.0010941800867674e-06,-5.055083602819112e-09,13.314671727990328,13.635054613029007
10,gov,15.53024600042158,-2.6964327609426295e-06,1.3623947301018986e-07,17.12970693125744,16.96842506801292
25,flores,5.960552349733512,5.283291650892111e-10,-0.0038624568691685043,6.936866231244899,6.555870966904388
25,bible,14.700303491606503,-9.133625077575353e-09,-0.024190713543457542,15.09711989346679,15.482169037954698
25,gov,17.528239424632332,-8.620708753202746e-09,-7.548211806504723e-07,18.989652593228403,18.83522287236195
50,flores,7.799406199598251,-4.643447060935487,-2.1251813038161935e-09,3.642802652367412,2.8154737516839106
50,bible,0.0,0.0,0.0,2.335950912726264,2.335950912726264
50,gov,28.195565548695516,-13.666862216537067,-5.76990780694977e-09,6.967968812715877,5.610933653540704
