train set size,test set,c0,c1,c2,rmse,kfold rmse
1,flores,0.0,0.0,0.0,3.7177950454536886,3.7177950454536886
1,bible,2.6362064656712367,-1.2166921896131173,-4.725279357138045e-09,8.794602502450036,9.032331565455495
1,gov,3.411898345603759,-1.028918500160437,-9.392159464235202e-09,10.142195146727104,10.110344491989707
10,flores,1.8703296079994285,-1.324235747268074,-2.3678419422003272e-09,5.732754555526226,5.746775833571469
10,bible,4.118324666191828,-1.3138273496014425,-8.3684380060728e-09,13.687690364214447,13.95391289185536
10,gov,7.075649539546109,-0.9686121603960539,-8.024420096572658e-09,17.493484515919178,17.219883267332868
25,flores,2.285595848847711,-1.320942739949036,-4.862240725742407e-09,6.883683414616757,6.798638412390121
25,bible,6.1782991565327725,-1.0635972284631583,-1.0183328275366118e-08,15.394238828325388,15.783045883041748
25,gov,8.571451892039962,-0.8740980304806794,-9.771129279035802e-09,19.34907942861218,19.05909756861319
50,flores,2.4758396552964,-1.898638366496683,-3.5148367620531406e-08,2.4251072252849286,3.6200504097347928
50,bible,0.0,0.0,0.0,2.335950912726264,2.335950912726264
50,gov,24.48560983654647,-0.581030999778687,-1.0264877177969176e-09,8.116774894521072,18.82201954916612
