train set,train set size,test set,c0,"c1,1","c1,2","c2,1","c2,2",rmse,kfold rmse
gov,1,flores,0.0,0.0,0.0,0.0,0.0,5.107641334314694,3.024600713285173
gov,1,bible,0.0,0.0,0.0,0.0,0.0,1.1410521460476728,1.1410521460476728
gov,1,gov,12.786100693806214,0.0004842105230618774,0.0007491772384510601,5.166898238610115,-4.228191676712139e-10,4.599110428788832,5.340620039240292
gov,10,flores,9.36411882732215,-0.0024789349772370186,0.05731191861500447,-2.3294954647221853e-10,0.0006907752128092515,4.232208443626454,3.7728500866681487
gov,10,bible,-5.878176036980309e-18,-2.0049052420214976e-17,-2.6215737092736837e-17,-1.4772111677461787e-17,-2.055025756350076e-17,2.3958297101421877,2.3958297101421877
gov,10,gov,32.15119930159768,3.183399397384376e-07,-5.2644502730639664e-09,5.939106031475599e-07,3.639837398762646e-07,4.5729899231462765,4.1403033146645
gov,25,flores,11.655554693117296,-0.10394808366368766,0.19922168618353003,-1.1197076222537198e-09,0.00024193005081258822,4.697022825719353,4.014900353252508
gov,25,bible,0.0,0.0,0.0,0.0,0.0,2.874369496080836,2.874369496080836
gov,25,gov,26.663847363320144,0.11778635501297363,-7.3721521269604634e-09,12.486286133685645,2.701990891838444,4.132082556407964,4.5189038795633545
gov,50,flores,9.006694242694696,-1.867528656507903e-11,0.004806307068477957,3.467411308734921,0.026163316681005647,4.596026576684674,3.576078201503413
gov,50,bible,0.0,0.0,0.0,0.0,0.0,2.335950912726264,2.335950912726264
gov,50,gov,27.534237740054643,0.009407564855574828,-5.03733622502859e-09,14.407721814978604,5.042586522448584,4.473928367087923,4.911605235655897
bible,1,flores,0.0,0.0,0.0,0.0,0.0,1.2473972903610142,1.2473972903610142
bible,1,bible,11.399427256826591,0.005754089396624355,0.05598393280800066,4.5862765955523255,-1.433033812066149e-09,3.8404412652813145,4.440220215698883
bible,1,gov,0.0,0.0,0.0,0.0,0.0,0.74565407529229,0.74565407529229
bible,10,flores,0.0,0.0,0.0,0.0,0.0,2.4240462041801103,2.4240462041801103
bible,10,bible,18.91133995586569,-0.02961607954698968,0.1607010801060407,7.617827992535087,-1.954643135744284e-09,4.823142292003345,4.765263096211067
bible,10,gov,0.0,0.0,0.0,0.0,0.0,1.4676511847165867,1.4676511847165867
bible,25,flores,0.0,0.0,0.0,0.0,0.0,2.7542694131112158,2.7542694131112158
bible,25,bible,20.890990093862555,-1.2098769415372717e-09,-2.0544834963836995e-05,11.5122744304964,0.0024141381274135707,4.500461776211051,4.2430597307340205
bible,25,gov,0.0,0.0,0.0,0.0,0.0,1.6792855623746665,1.6792855623746665
