model,mean,min,25%,50%,75%,max
linear,4.876574095587376,4.876574095587376,4.876574095587376,4.876574095587376,4.876574095587376,4.876574095587376
poly2,4.660356962084067,4.660356962084067,4.660356962084067,4.660356962084067,4.660356962084067,4.660356962084067
poly3,4.450872932520613,4.450872932520613,4.450872932520613,4.450872932520613,4.450872932520613,4.450872932520613
exp,4.864112391974694,4.864112391974694,4.864112391974694,4.864112391974694,4.864112391974694,4.864112391974694
log,4.95018323928245,4.95018323928245,4.95018323928245,4.95018323928245,4.95018323928245,4.95018323928245
power,6.626762564737064,6.626762564737064,6.626762564737064,6.626762564737064,6.626762564737064,6.626762564737064
mult,6.101120554214193,6.101120554214193,6.101120554214193,6.101120554214193,6.101120554214193,6.101120554214193
hmult,6.880757251599003,6.880757251599003,6.880757251599003,6.880757251599003,6.880757251599003,6.880757251599003
am,13.231354189182692,13.231354189182692,13.231354189182692,13.231354189182692,13.231354189182692,13.231354189182692
gm,13.358915699151604,13.358915699151604,13.358915699151604,13.358915699151604,13.358915699151604,13.358915699151604
hm,13.317628330800025,13.317628330800025,13.317628330800025,13.317628330800025,13.317628330800025,13.317628330800025
diff,4.676414420559018,4.676414420559018,4.676414420559018,4.676414420559018,4.676414420559018,4.676414420559018
