train set,language to,c0,"c1,1","c1,2",rmse,kfold rmse
gov,ka,3.342853012586409,76.5234036112233,-99.48489166654271,10.844865690514785,11.279688979842586
gov,gu,9.812629998888395,55.71174281835139,-67.20731655505483,11.689754932016882,12.161027585998664
gov,hi,9.408111826020969,31.296320069271918,-21.20437464801975,11.939748151482062,12.285251590493866
gov,si,8.880602883416229,36.698449016259445,-24.7032589260946,17.42032119138138,17.896438872309425
gov,ta,7.824713483879248,27.386536817019646,-17.490992051027792,14.386182494436078,14.786384973250179
bible,ka,3.7019067886143593,34.0641799573019,-41.20261235389931,10.040694973778798,10.444039916841913
bible,gu,5.926849247023819,29.356389459938818,-34.953476451545065,9.893581907632798,10.292275146525839
bible,hi,6.482083576626019,28.225310447366308,-33.17889303414004,11.787406965196087,12.262301146332382
bible,si,6.913273274355537,35.19615597922655,-42.9787514841936,14.668156489994727,15.258994687095358
bible,ta,5.2271498300442625,29.321088692574936,-33.95079297116191,11.588627886696907,12.054966772371957
