train set,language to,c0,"c1,1","c1,2","c1,3",rmse,kfold rmse
gov,ka,3.4477964315112257,70.53136874500912,-61.69452750581775,-52.452146752352625,10.84486565666624,11.279680929232349
gov,gu,9.884082729398934,51.63862157859627,-41.480488382172425,-35.73312977997159,11.68975493207734,12.161024292135806
gov,hi,7.833588916236298,65.7423671673691,-122.42869866672831,68.55273785305943,11.88336839640313,12.411977999781472
gov,si,7.114494185403567,75.3312402297662,-138.22767381660248,76.88196783220864,17.371768285040407,18.109386135595635
gov,ta,6.409190448833705,58.35377344195176,-108.49209664361597,61.62913251602808,14.348402930899617,14.97963016505661
bible,ka,3.7456780433423575,31.56766926771585,-25.43297931828036,-21.90345900713086,10.040694973737972,10.444035435891287
bible,gu,5.964080376036536,27.23463709234272,-21.55337647595986,-18.611021627236077,9.893581907634942,10.292277210925636
bible,hi,6.517489835454959,26.20824801206745,-20.44030483848228,-17.69225075259677,11.787406965190417,12.262304481205684
bible,si,6.958906958837097,32.59441743828998,-26.548136848799846,-22.819037472205373,14.668156490008629,15.258992742060236
bible,ta,5.263348792580436,27.2540880940618,-20.892976791783358,-18.137120192869464,11.588627886774736,12.054983173389749
