train set size,test set,c0,c1,rmse,kfold rmse
1,flores,0.0,0.0,3.01695210435963,3.01695210435963
1,bible,-6.61896099263515e-10,-2.1457418494670666,9.259900202858708,9.265422327432288
1,gov,1.846514695597463,-1.9608748133417218,10.434458285697582,9.913209865563841
10,flores,4.0081194757663474e-10,-1.9326606763049912,5.978060816624846,5.966059811994039
10,bible,4.959578474781448,-2.2712405982123425,13.719247408755894,14.802089987972353
10,gov,9.276388128355416,-2.0920680825561706,17.4340329142731,16.95606203372637
25,flores,-3.429460201678744e-10,-2.120292654148161,7.2772448206425935,7.2683509699953435
25,bible,7.2955178565784795,-2.264510574339125,15.466933910626091,16.65119274406124
25,gov,11.433056429364022,-2.0645139117954896,19.25908181192714,18.82784956153377
50,flores,-1.6411597886061343e-10,-2.7882401154766887,3.7702312292281697,3.7790052582732394
50,bible,0.0,0.0,1.457166199626293,1.457166199626293
50,gov,34.63179205858649,-1.8770360236308592,6.622286465284826,7.287797826549209
