train set,train set size,test set,c0,"c1,1","c1,2",rmse,kfold rmse
gov,1,flores,0.0,0.0,0.0,5.107641334314694,2.987797622469292
gov,1,bible,0.0,0.0,0.0,1.1410521460476728,1.1410521460476728
gov,1,gov,17.385422321408154,-7.845893398957873e-10,0.000273854290392679,4.135775396613936,5.011783583618805
gov,10,flores,9.308817353185905,-2.052737257158106e-09,0.0006223900342755799,4.270907725450697,3.682996999232138
gov,10,bible,0.0,0.0,0.0,2.3958297101421877,2.3958297101421877
gov,10,gov,32.56998140194446,-7.800216464538606e-10,-0.2151360819701971,4.373156563293639,4.72036098475087
gov,25,flores,11.779962787188213,-2.6956582070427274e-09,-1.5283767433383987e-07,4.625990296970609,4.27450530449126
gov,25,bible,0.0,0.0,0.0,2.874369496080836,2.874369496080836
gov,25,gov,36.131347924029,0.0008431395623276788,-9.855104553216751e-10,5.0848342885216935,5.209328795081187
gov,50,flores,11.644083204331272,-6.932769683300979e-10,0.00019082258757410875,4.268403335623341,3.5761516929406763
gov,50,bible,0.0,0.0,0.0,2.335950912726264,2.335950912726264
gov,50,gov,39.8332496800497,3.338575782931849e-08,4.0991429008432906e-07,5.893440420121011,5.716829358792015
bible,1,flores,0.0,0.0,0.0,1.2473972903610142,1.2473972903610142
bible,1,bible,14.414455726301275,0.0002098280092735163,-1.0981886836495362e-09,4.018205310386687,4.258959741826281
bible,1,gov,0.0,0.0,0.0,0.74565407529229,0.74565407529229
bible,10,flores,0.0,0.0,0.0,2.4240462041801103,2.4240462041801103
bible,10,bible,25.136075366820474,5.188074678585465e-05,-1.8175919493476133e-09,4.367141968787078,4.3832075337799346
bible,10,gov,0.0,0.0,0.0,1.4676511847165867,1.4676511847165867
bible,25,flores,0.0,0.0,0.0,2.7542694131112158,2.7542694131112158
bible,25,bible,29.00488677019309,-5.036778807600414e-10,-0.31565751211639514,4.6782702154629625,4.328790797906061
bible,25,gov,0.0,0.0,0.0,1.6792855623746665,1.6792855623746665
