model,pareto,rawlsian,all
linear,False,False,4.578565694764228
poly2,False,False,4.438602822587372
poly3,False,False,7.275422952588798
exp,False,False,4.462296666483678
log,False,False,4.681485256325527
power,False,False,6.9023505514515735
hmult,False,False,4.682599087986621
mult,False,False,5.713622310926112
am,False,False,13.279982961833293
gm,False,False,13.55708517226616
hm,False,False,7.656219544681321
linear+linear+poly2,False,False,4.578376321512138
linear+linear+poly3,False,False,4.578559336016008
linear+linear+exp,False,False,4.8765739412985925
linear+linear+log,False,False,4.578573045152107
linear+linear+power,False,False,4.8765739412985925
linear+linear+hmult,False,False,4.611966195670651
linear+poly2+linear,False,False,4.437608197182943
linear+poly2+poly2,False,False,4.437577204523455
linear+poly2+poly3,False,False,4.43764031765265
linear+poly2+exp,False,False,4.698338837069303
linear+poly2+log,False,False,4.437667297775233
linear+poly2+power,False,False,4.698338837069303
linear+poly2+hmult,False,False,4.482553492208576
linear+poly3+linear,False,False,4.35993407895608
linear+poly3+poly2,False,False,4.364478125207581
linear+poly3+poly3,False,False,4.364531767223186
linear+poly3+exp,False,False,4.598192946476591
linear+poly3+log,False,False,4.365797324012652
linear+poly3+power,False,False,4.598192946476591
linear+poly3+hmult,False,False,4.415864446249592
linear+exp+linear,False,False,12.980801647576778
linear+exp+poly2,False,False,12.980933504662522
linear+exp+poly3,False,False,12.98086522432311
linear+exp+exp,False,False,12.98246922680924
linear+exp+log,False,False,12.980940479030028
linear+exp+power,False,False,12.979315009524091
linear+exp+hmult,False,False,12.9809184584574
linear+log+linear,False,False,4.72731264544298
linear+log+poly2,False,False,4.727290150767668
linear+log+poly3,False,False,4.727308636993437
linear+log+exp,False,False,4.974269094687651
linear+log+log,False,False,4.727312956862249
linear+log+power,False,False,4.974269094687651
linear+log+hmult,False,False,4.949409037701738
linear+power+linear,False,False,6.572984328107862
linear+power+poly2,False,False,6.573102735348928
linear+power+poly3,False,False,6.57333639800307
linear+power+exp,False,False,6.631065011295819
linear+power+log,False,False,6.57324317735806
linear+power+power,False,False,6.558933297068371
linear+power+hmult,False,False,6.789366565423161
linear+hmult+linear,False,False,6.572551919403544
linear+hmult+poly2,False,False,6.573342683837256
linear+hmult+poly3,False,False,6.5730048617131605
linear+hmult+exp,False,False,6.789338747168817
linear+hmult+log,False,False,6.573299976051463
linear+hmult+power,False,False,6.789338747168817
linear+hmult+hmult,False,False,6.6611294813123525
poly2+linear+linear,False,False,4.5357628146434426
poly2+linear+poly2,False,False,4.5207700336614
poly2+linear+poly3,False,False,4.523418209139794
poly2+linear+exp,False,False,4.838634777792687
poly2+linear+log,False,False,4.53887143978895
poly2+linear+power,False,False,4.838634777792687
poly2+linear+hmult,False,False,4.751197444822667
poly2+poly2+linear,False,False,4.491236069446408
poly2+poly2+poly3,False,False,4.467043981623707
poly2+poly2+exp,False,False,4.700163020988677
poly2+poly2+log,False,False,4.52870044663555
poly2+poly2+power,False,False,4.700163020988677
poly2+poly2+hmult,False,False,4.871211505321957
poly2+poly3+linear,False,False,4.374570250481415
poly2+poly3+poly2,False,False,4.36266327143835
poly2+poly3+poly3,False,False,4.409483710234587
poly2+poly3+exp,False,False,4.628413387314966
poly2+poly3+log,False,False,4.389043009295103
poly2+poly3+power,False,False,4.628413387314966
poly2+poly3+hmult,False,False,4.652291853722323
poly2+exp+linear,False,False,12.98349858172281
poly2+exp+poly2,False,False,12.970027280585487
poly2+exp+poly3,False,False,12.959449012043596
poly2+exp+exp,False,False,12.96892598917406
poly2+exp+log,False,False,12.969678559859991
poly2+exp+power,False,False,12.965988186389428
poly2+exp+hmult,False,False,12.95930670140549
poly2+log+linear,False,False,4.715996305913377
poly2+log+poly2,False,False,4.697592819884088
poly2+log+poly3,False,False,4.69272356830895
poly2+log+exp,False,False,4.956086063747999
poly2+log+log,False,False,4.710147374024109
poly2+log+power,False,False,4.956086063747999
poly2+log+hmult,False,False,4.9560866068137255
poly2+power+linear,False,False,6.609677492439133
poly2+power+poly2,False,False,6.586042193645223
poly2+power+poly3,False,False,6.595837050670198
