model,none,lang
linear,4.876573973395098,4.308543050772668
poly2,4.73899548757777,3.646432284211955
poly3,5.369773953272558,5.014996724010328
exp,4.864112784367077,4.078685109103841
log,4.950182393114382,4.1624239805565315
power,6.810466522291875,5.665918050102976
mult,6.101120308373828,5.123845032859767
hmult,6.470255069638118,5.452136764855251
am,13.279585130385266,13.043866653797238
gm,13.358916082466488,13.030524765504206
hm,7.657138541690633,7.248586841668043
diff,4.876573951536497,4.308542466600386
