model,pareto,rawlsian,ka,gu,hi,si,ta
linear,False,False,4.2913418961520495,4.732969393432418,3.3209734019956287,4.906635366631528,4.290795195651715
poly2,False,False,4.078001558331974,4.364551939787791,3.2865843514616517,3.007033658964205,3.4959899125141547
poly3,False,False,4.176710265889192,4.466088785181196,3.869874562171515,7.138670519481211,5.423639487328529
exp,True,False,4.663226772760213,6.001005468781568,3.957609437765812,2.5836359287634068,3.187947937448204
log,False,False,4.47557231917385,6.00125440812219,4.161783113277139,2.7191622231656085,3.4543478390438738
power,False,False,6.445932806217527,7.957623560471626,6.601096030344465,3.15194064876212,4.172997204719136
hmult,False,False,5.901008112175987,8.217805961946341,6.260286948659422,3.12741914464613,3.754163656848372
mult,False,False,5.718277229594482,7.48668207678607,5.74384633887061,2.950621264719177,3.719798254328492
am,False,False,10.977235778961449,11.636759269744427,12.287300111728058,16.717431803766825,13.600606304785426
gm,False,False,11.261447020826438,11.704155118234755,12.53611694598229,16.329225189218796,13.321679553258742
hm,False,False,6.91487468092745,7.278875746697125,6.715976407188096,8.276922060383963,7.056285313143578
diff,False,False,4.291339523086828,4.732969783577648,3.3209711753037885,4.90663567118102,4.290796179852647
linear+poly2,False,False,4.286012227402767,4.43811524430122,3.3294214997740985,3.04052437476195,3.474106493553439
linear+poly3,True,False,4.028287497926427,3.0138485366393426,3.0321936444629403,2.359436690200062,3.4521818772131683
linear+exp,False,False,10.728507382532806,11.411595837841784,12.05262671104309,16.447731627566213,13.324338020788383
linear+log,False,False,4.672642939011778,6.074097993599335,4.113320324953958,2.712217874182394,3.3972250483077184
linear+power,False,False,6.300742728883389,8.337370180280795,6.629356076874325,3.0262506515590912,3.8475091678234383
linear+hmult,False,False,6.300742728883389,8.337370180280795,6.629356076874325,3.026250642895884,3.8475091678234383
poly2+linear,False,False,4.070775587835839,4.677650924843649,3.2620655427404044,4.938896977648675,4.316418364782185
poly2+poly3,False,False,3.905722395640893,3.747798673581898,3.2401345109810555,3.1566733746590887,3.5140873972191278
poly2+exp,False,False,10.603752272797964,11.35083975618183,12.120395245667543,16.613632910941128,13.467704027400188
poly2+log,True,False,4.499373425866979,6.050952660231795,4.140505185710537,2.7063115371726085,3.437412418974908
poly2+power,False,False,6.197076672493242,8.323774335991983,6.710953403248359,3.0532591148821444,3.873441249724661
poly2+hmult,False,False,6.197076672493242,8.323774335991983,6.710953403248359,3.0532591148821444,3.873441249724661
poly3+linear,False,False,4.070748172642428,4.677615240571817,4.766377426086594,6.624801623768218,4.956948578757493
poly3+poly2,False,False,4.12740887292835,4.480913675131263,5.71472832863253,6.655209624231048,5.827073656663978
poly3+exp,False,False,10.615280832359538,11.350644604400962,12.183823859578292,16.747673831692527,13.571939868936765
poly3+log,False,False,4.499449212123329,6.050975586049115,5.593956960167715,5.324566694637055,4.238295801037458
poly3+power,False,False,6.212686099012362,8.343273979938854,6.779752841938439,3.066753735300539,4.120751172571833
poly3+hmult,False,False,6.212686099012362,8.343273979938854,6.779752841938439,3.066719600447984,4.120751172571833
exp+linear,False,False,4.318727191633137,4.7430173812861645,3.348903414129893,4.926532586579949,4.3151641251774056
exp+poly2,False,False,4.362790194275572,4.569279643819877,3.3820448077422,4.072502720010605,3.7403914995722767
exp+poly3,False,False,4.315833457870719,4.542719239105031,3.3790647153973987,4.0340208723277815,3.517495569316787
exp+log,False,False,5.026043799187802,6.2181845499316335,4.838923734471631,4.767887348114783,3.979641960116471
exp+power,False,False,6.460990555815023,8.363225565424916,6.7058835012132265,3.049194569740469,3.931753418961526
exp+hmult,False,False,6.460990555815023,8.363225566940608,6.705883805414276,3.049194569740469,3.931753418961526
log+linear,False,False,4.0571191100498805,4.637920114742872,3.191920963963886,4.849613122551651,4.2402523101690734
log+poly2,False,False,4.052566680848544,4.326163823190003,3.1947683945453877,2.983025013866352,3.479607497859845
log+poly3,True,True,3.6972383826070967,2.7792651568597884,2.6619864243879507,2.50258654671448,3.4933689158694614
log+exp,False,False,10.578221914903828,11.325516308352368,11.926601651643365,16.240274960298102,13.179819417092526
log+power,False,False,6.157105987814002,8.273309537434042,6.7924241795268046,3.0464970525258424,4.007284245228773
log+hmult,False,False,6.157105987814002,8.273309537434042,6.7924241795268046,3.0464970525258424,4.007284245741367
power+linear,False,False,4.062538618788029,4.637816877277606,3.1810052129703346,4.842459892741486,4.230234674002792
power+poly2,False,False,4.057312001664755,4.326394525185144,3.186705320986196,2.9753562542293848,3.4682570787565203
power+poly3,True,False,3.9287776561635193,3.2525697282539467,2.9217702988833163,2.91813383145855,3.4873663566801056
power+exp,False,False,10.608277948526933,11.331791148564474,11.935007535504475,16.31461575571428,13.235708888111391
power+log,False,False,4.555811862508314,6.206718771279901,4.2263750584703725,2.748623777514046,3.49892841853987
power+hmult,False,False,6.360398795644381,8.28357348446064,6.673162208487014,3.04352052590765,3.926972021660037
hmult+linear,False,False,4.180594625670092,4.754417073294102,3.474476324838991,5.4239451833751975,4.531432979790521
hmult+poly2,False,False,4.175096720068363,4.370710281012309,3.6024692404507177,3.5785905786507994,4.110108612755368
hmult+poly3,False,False,3.887831388399435,2.8862609272380064,3.1378520939746872,2.5395540463486084,4.027435542866461
hmult+exp,False,False,10.670068213686928,11.368950880283652,11.987814547757116,16.383551330815614,13.266366812979394
hmult+log,False,False,4.577036331857358,6.028817651833975,4.31454551009637,3.095730341800889,3.6789286490837054
hmult+power,False,False,6.232892703445974,8.299260617330592,6.648770473372228,3.035193861983285,3.905647835650728
