train set,language to,c0,"c1,1","c1,2",rmse,kfold rmse
gov,ka,3.3428879181846427,1.5302204065623404,-0.03978411230876013,10.844865656669743,11.279676466075532
gov,gu,9.812640830264833,1.1142327206164757,-0.026882876111481373,11.689754932010857,12.161026792533708
gov,hi,9.408117886503392,0.625927318751062,-0.008481773587707258,11.93974815149615,12.285252053395652
gov,si,8.880540356421681,0.7339787251418781,-0.00988148494380933,17.420321191409514,17.896438957242953
gov,ta,7.824679097176718,0.5477370553513058,-0.0069965177472600575,14.38618249446921,14.786384594575534
bible,ka,3.701841569418532,0.6813001550463686,-0.016481627985660212,10.040694973737711,10.444040518149336
bible,gu,5.92684326934593,0.587133220337231,-0.013981619949134359,9.89358190763294,10.29227672072038
bible,hi,6.482098059429848,0.5645085249957228,-0.013271706247481429,11.78740696519071,12.262305451748912
bible,si,6.913257058505989,0.7039243211806866,-0.01719152621277385,14.668156489993123,15.25899831185708
bible,ta,5.227146566735887,0.5864241170624653,-0.013580407773990166,11.58862788669993,12.054980558241617
