train set,test set,language to,c0,c1,rmse,kfold rmse
gov,flores,ka,3.02043821697854,0.7762274562071665,2.013254309257073,4.898392961537605
gov,flores,gu,8.27375472934104,0.7825933064076185,1.6253784043057389,3.8993008657783115
gov,flores,hi,7.9316912576290255,0.6392036478795139,1.8114360972710877,2.511225771749456
gov,flores,si,4.248128420313449,0.5595179789112523,1.1839928018237187,1.6696811202790622
gov,flores,ta,2.4581010047682317,0.568306924380987,0.6847556655758624,0.9207278698228518
gov,bible,ka,-0.6028931786550008,0.275130435971758,0.1549510957731433,0.3350963120136122
gov,bible,gu,1.3831571885739535,0.38921507558763124,0.11778030602875354,0.24452601442993763
gov,bible,hi,0.4444511582814654,0.3102018278836014,0.4315584274961353,0.6206561718494576
gov,bible,si,-0.774537149898853,0.21191642803546082,0.027430716508759754,0.0371584832611172
gov,bible,ta,-0.7468663345704472,0.21656085451360535,0.05880488995397838,0.07368742659955839
gov,gov,ka,15.502127317521396,0.9420156044054732,4.677163665527879,12.827209436659794
gov,gov,gu,23.850361096526846,0.8445523396115703,2.420122951727826,6.0741242792137085
gov,gov,hi,23.305796138736547,0.7008189139249679,3.5111923234343014,4.935971565510369
gov,gov,si,28.664887292918966,0.81291603134152,5.874938820248536,8.341703983094257
gov,gov,ta,24.213984349547296,0.7503043971261528,4.117574954512215,5.722470238675223
bible,flores,ka,-0.4186206413031341,0.31012475781298676,0.1247826068925195,0.26334839197928767
bible,flores,gu,1.1628367062876872,0.3622159228240155,0.23660860549899285,0.5041203335152055
bible,flores,hi,0.5537208163081421,0.26085246539184376,0.08720766915748421,0.18546920232473008
bible,flores,si,-0.14417849181981132,0.2335131003847622,0.09381135544824196,0.20278415891885726
bible,flores,ta,-0.1879948058701523,0.2455111792682178,0.01986675100447348,0.041602093372122236
bible,bible,ka,13.531238754258418,0.8545325347903951,2.3904300179768976,6.010368552667604
bible,bible,gu,16.718812246433313,0.7856359541085214,1.5627473573772006,3.7427165919658
bible,bible,hi,19.160159414366962,0.8184489902398157,1.695198748935003,4.118552712920342
bible,bible,si,23.08228195610179,0.8726804403643406,2.6414607531794028,6.729018469407511
bible,bible,ta,17.148677007833076,0.8446301937981358,1.9880766790785542,4.918440289622134
bible,gov,ka,-0.6903177825900851,0.16589783804771377,0.01791298995145775,0.0388658175294087
bible,gov,gu,0.25063428903690904,0.3095463587990245,0.07768875688546592,0.16215819921237248
bible,gov,hi,0.07263129547027822,0.18893861052822702,0.1298127942726812,0.2986222628888555
bible,gov,si,-0.584959544553179,0.12828347300000575,0.029574134754261475,0.06639447724504817
bible,gov,ta,-0.6849606262492411,0.12828386649195608,0.029574134743067127,0.06639524699060563
