train set,train set size,test set,c0,c1,rmse,kfold rmse
gov,1,flores,0.0,0.0,5.107641334314694,2.418093330924528
gov,1,bible,0.0,0.0,1.1410521460476728,1.1410521460476728
gov,1,gov,2.66278821505452,2.8227032255487026,3.8667051893253013,3.8022950980965344
gov,10,flores,2.8299583800543555,1.951898853010289,4.508726982256556,4.487425980005758
gov,10,bible,0.0,0.0,2.3958297101421877,2.3958297101421877
gov,10,gov,4.886836138380911,2.8235639274266773,3.2542345707838494,3.023313218730986
gov,25,flores,3.3895081544428782,1.980412679306383,5.16441378282123,5.143609742751442
gov,25,bible,0.0,0.0,2.874369496080836,2.874369496080836
gov,25,gov,5.353784341065694,2.8455355605099224,3.416974148157148,3.197318116843555
gov,50,flores,3.888432548585124,1.7099125565781659,5.123276164229903,4.793618832437087
gov,50,bible,0.0,0.0,2.335950912726264,2.335950912726264
gov,50,gov,6.452333735047499,2.6479046830788096,3.6177625495750223,3.036430676349484
bible,1,flores,0.0,0.0,1.2473972903610142,1.2473972903610142
bible,1,bible,2.2219213308964605,2.914726041738657,2.9768067447943896,2.930710315020634
bible,1,gov,0.0,0.0,0.74565407529229,0.74565407529229
bible,10,flores,0.0,0.0,2.4240462041801103,2.4240462041801103
bible,10,bible,3.7588356594477355,2.8651296883219195,3.632427965805224,3.50468556095628
bible,10,gov,0.0,0.0,1.4676511847165867,1.4676511847165867
bible,25,flores,0.0,0.0,2.7542694131112158,2.7542694131112158
bible,25,bible,4.6491640300157435,2.760010294389989,4.081546108030761,3.9026617278861426
bible,25,gov,0.0,0.0,1.6792855623746665,1.6792855623746665
