train set,train set size,test set,c0,c1,rmse,kfold rmse
gov,1,flores,0.0,0.0,4.229420764123617,4.229420764123617
gov,1,bible,0.0,0.0,0.8136338242723196,0.8136338242723196
gov,1,gov,15.64001106876061,-6.656177796818171e-09,4.502926231382959,4.582140720802703
gov,10,flores,0.17706824452802947,-5.3602495127147405,4.639225058970478,4.026351437724774
gov,10,bible,0.0,0.0,1.630950643030009,1.630950643030009
gov,10,gov,31.259892144679515,-4.0775482632131045e-09,4.51186649656051,3.9597992446033783
gov,25,flores,2.4614671848338876,-5.398920028548242,4.932606044215007,4.262749904950652
gov,25,bible,0.0,0.0,2.0644611887851028,2.0644611887851028
gov,25,gov,35.07999653804227,-7.236142962426448e-09,5.109952768959733,5.064150721556091
gov,50,flores,3.007514538083049,-5.284278471780551,3.4601652215551835,3.005434821008659
gov,50,bible,0.0,0.0,1.457166199626293,1.457166199626293
gov,50,gov,38.83333059185826,-3.3235154087097175e-09,5.893406139679586,5.61130303985984
bible,1,flores,0.0,0.0,0.5621387729022078,0.5621387729022078
bible,1,bible,15.444310814508945,-5.946350047722932e-09,3.112718753306867,3.839270851415985
bible,1,gov,0.0,0.0,0.5253570214625478,0.5253570214625478
bible,10,flores,0.0,0.0,1.5218409903797439,1.5218409903797439
bible,10,bible,24.140026605991455,-7.325853560850328e-09,4.364890257436094,4.261628160001161
bible,10,gov,0.0,0.0,0.7443117626371357,0.7443117626371357
bible,25,flores,0.0,0.0,1.829207478663916,1.829207478663916
bible,25,bible,29.831352969044342,-8.152857855315893e-09,3.85185478771387,4.447748599583823
bible,25,gov,0.0,0.0,0.9273618495495703,0.9273618495495703
