train set 1,train set 1 size,train set 2,train set 2 size,test set,c0,c1,rmse,kfold rmse
cc_align,25,gov,1,flores,6.829659919405568,0.7365113720515026,2.3023604826293695,2.869485195057835
cc_align,25,gov,1,bible,-0.33201106243833467,3.460293994556173,0.6568086793242016,0.8270130948502377
cc_align,25,gov,1,gov,16.62065354676567,12.840779586270708,2.5232489028303267,2.684302518398086
cc_align,25,gov,10,flores,14.176627777445253,-1.1964411340026126,3.447867532803233,4.344427391350465
cc_align,25,gov,10,bible,1.182601366035526,3.383123671363468,0.8574307649863802,0.9099196472454502
cc_align,25,gov,10,gov,32.01593887311973,6.786901666555185,3.8073997771936576,3.861934281948773
cc_align,25,gov,25,flores,16.511330334203162,-2.656136480495814,3.5577515940416986,4.469918967476029
cc_align,25,gov,25,bible,0.7975554262248102,5.267200066385422,0.9161070771091515,0.9830424069672161
cc_align,25,gov,25,gov,34.97064495601015,8.181028819920913,4.272156758226816,4.325200457262878
cc_align,25,gov,50,flores,27.82683887701722,-27.702225384073454,1.9646666200065048,8.08005058414503
cc_align,25,gov,50,bible,3.464722313422843,-0.373209687519248,0.5877308988084197,2.417150749089823
cc_align,25,gov,50,gov,40.63541544468768,4.828754369031838,5.417391807861272,22.2800140217799
cc_align,25,bible,1,flores,0.6612710890600709,2.3159032171139033,0.6428540373656628,0.7308644327946099
cc_align,25,bible,1,bible,19.170589069295957,-2.119390594167371,2.7040260239256355,2.705851643993825
cc_align,25,bible,1,gov,1.0061525519581762,-0.013717452863143034,0.49396161748896195,0.5777315928452118
cc_align,25,bible,10,flores,1.1713714215502438,3.720299158230471,0.8724352236041384,1.0551605073102042
cc_align,25,bible,10,bible,30.667535292704187,-6.3933275954466735,3.4748863873532634,3.486276973168821
cc_align,25,bible,10,gov,0.1555302418515281,3.4434802420147483,0.8068347593544867,1.0112062950116538
cc_align,25,bible,25,flores,0.7267139440955197,5.246780647261323,0.8790013028000522,1.0355454257257566
cc_align,25,bible,25,bible,35.046621010768376,-7.238520060176177,3.450977700749521,3.4744036146558828
cc_align,25,bible,25,gov,0.14662699823843217,4.221379206638651,0.8417419299745149,1.0512070665443751
cc_align,100,gov,1,flores,9.048106072049041,-1.4003970214316355,2.143265020345587,2.6357657025397723
cc_align,100,gov,1,bible,0.13925048143077548,2.9892747671658446,0.6529946465416322,0.8252330049349894
cc_align,100,gov,1,gov,20.11948857251465,8.651813581301496,2.1991009366776972,2.270528114464295
cc_align,100,gov,10,flores,15.204532087608872,-0.45601553463723093,3.2866210212264484,4.124695138816196
cc_align,100,gov,10,bible,1.0337250609401805,4.9190112794651615,0.7946382178351925,0.856409901955052
cc_align,100,gov,10,gov,32.124370280135835,7.838289720849995,3.855821434619437,3.8921162031696697
cc_align,100,gov,25,flores,17.37917762861752,-1.5588549643662586,3.2441946987344297,3.9654071655555785
cc_align,100,gov,25,bible,1.0728109656864315,5.768280197791778,0.7841024999468608,0.8123545536500416
cc_align,100,gov,25,gov,35.419910220731374,8.160371397638139,4.417461729839826,4.441075630134948
cc_align,100,gov,50,flores,29.70471947800222,-28.256293653788692,2.2904854990570844,9.420040278722704
cc_align,100,gov,50,bible,4.591665703674809,-0.8118700332603076,0.40376402671924827,1.660553361442514
cc_align,100,gov,50,gov,40.589583645902195,5.234686892811655,5.619273821220875,23.110290702501125
cc_align,100,bible,1,flores,0.9160290367233285,2.193817362161495,0.6409995517342499,0.7250690673576448
cc_align,100,bible,1,bible,20.9953880551508,-4.671782875124417,2.669316277443212,2.6694168733535157
cc_align,100,bible,1,gov,0.9828800957386372,0.5286718635988641,0.5574473054577738,0.6586633402169682
cc_align,100,bible,10,flores,1.0575868383387204,5.133356732494018,0.839916268030859,0.9916852802827856
cc_align,100,bible,10,bible,30.912973385976763,-5.959541161343694,3.5888611039226,3.600264204484433
cc_align,100,bible,10,gov,0.10623840107276307,4.578974402318669,0.7774391978536428,0.9507647561379563
cc_align,100,bible,25,flores,0.5514027672283567,6.975379543323916,0.9407549839840186,1.1224324911523766
cc_align,100,bible,25,bible,36.120876811935105,-8.786401491740305,3.4434999345641746,3.4673990824347647
cc_align,100,bible,25,gov,-0.4788077311397706,6.46305121541909,0.7869477785991851,0.9539201110284072
gov,25,bible,1,flores,1.0369476769715114,2.1471781036040523,0.876896082352085,1.0491594844811252
gov,25,bible,1,bible,21.422467586800934,-6.337437765987991,2.21081365871103,2.2326730432122113
gov,25,bible,1,gov,1.1889586676638644,2.0758078333446606,0.8565178120191731,1.0360360065492786
gov,25,bible,10,flores,1.5519015752619145,4.031254848700032,1.2761437566948803,1.614342309004731
gov,25,bible,10,bible,32.37438619529424,-9.752934542041578,3.4964571177401536,3.4979879769972415
gov,25,bible,10,gov,-1.5025403262647683,15.166637666692127,1.203476696922647,1.6276736184122857
gov,25,bible,25,flores,0.7435830052205545,6.457720937456528,1.4299614317322034,1.7991731606761232
gov,25,bible,25,bible,36.44184536223735,-10.170885075393578,3.201534838522102,3.2180968991996104
gov,25,bible,25,gov,-2.391196428070158,18.307313910524325,1.3435012077032304,1.7328006861003586
gov,1,bible,1,flores,0.20607005355937782,3.1524345546254846,0.8695831381234305,1.0238330765498498
gov,1,bible,1,bible,17.702098764662235,-1.9220964782334307,2.7965504949149067,2.8073412543837803
gov,1,bible,1,gov,-0.7067422447727186,7.729292439072324,0.9780983139520867,1.2114583848054514
gov,1,bible,10,flores,0.5596934994639658,5.663753011094341,1.1681662653062757,1.5059159829407567
gov,1,bible,10,bible,30.320647570445757,-7.09142863394515,3.7572808267822944,3.757288043270352
gov,1,bible,10,gov,-3.4259324881920503,21.77368342973947,1.7064073372038409,2.0068476034067717
gov,1,bible,25,flores,0.41589560051346425,6.697815926795987,1.2600608590167592,1.5944362835601769
gov,1,bible,25,bible,34.1032613310144,-6.027069777709651,3.6256396471045096,3.628147551096678
gov,1,bible,25,gov,-3.527851316186882,23.160285640675212,1.8973503757808678,2.1121135690587756
gov,10,bible,1,flores,1.1323133654735495,1.7561906535058922,0.8821126582070334,1.078150568605012
gov,10,bible,1,bible,21.000055095197208,-6.287467883700202,2.0731945724802023,2.1069068562242093
gov,10,bible,1,gov,0.8494017847039711,3.0558240776242243,0.9112058917526105,1.1214314538794616
gov,10,bible,10,flores,1.311512933132832,4.388850144602069,1.1802596633277078,1.4881028672187846
gov,10,bible,10,bible,31.679656637752686,-9.051227677144135,3.3576003721952214,3.357656266661409
gov,10,bible,10,gov,-1.6429335921818784,16.41606526393899,1.3708487028793441,1.7438997074010238
gov,10,bible,25,flores,0.7408361772918541,6.508436241103448,1.2861097982721683,1.621392342690403
gov,10,bible,25,bible,35.595714754707494,-8.685710253864494,3.410285346598246,3.439485256996956
gov,10,bible,25,gov,-2.2300908425486954,18.661577740354705,1.3054235971162242,1.5476702292815536
gov,50,bible,1,flores,3.9920715081841758,-4.815508289069685,0.585323169116036,2.407248520635707
gov,50,bible,1,bible,25.87381401856074,-13.232718114706024,2.0144127639898053,8.284640694104027
gov,50,bible,1,gov,3.5055118273620485,-3.7131149294594126,0.489462880176932,2.0130055606570845
gov,50,bible,10,flores,5.055543019790219,-5.0348380480104655,0.4933397330714468,2.0289498268120294
gov,50,bible,10,bible,35.462632644663174,-12.376631639752894,3.1438828435843535,12.92979284534664
gov,50,bible,10,gov,3.376505490078376,4.886703061335118,0.36940286738048933,1.5192368129954827
gov,50,bible,25,flores,4.528256243791782,-3.2359857498578846,0.5035011685528586,2.070740587576047
gov,50,bible,25,bible,39.53120890113003,-12.305435166067584,2.927962541848822,12.04178113773756
gov,50,bible,25,gov,3.2498442451981693,6.608615107669648,0.01938426447257287,0.07972133077473063
bible,25,gov,1,flores,5.891559975545249,0.3755462954941707,1.9393196253294507,2.4928380326347432
bible,25,gov,1,bible,1.0201884652686928,5.127556262260474,1.63745741420687,1.9748650703902868
bible,25,gov,1,gov,16.77814394144407,11.107321989096667,1.5694792881995328,1.7519607139718765
bible,25,gov,10,flores,14.064839355252602,-3.622668677541888,3.432267436201458,4.37213282352161
bible,25,gov,10,bible,6.151732877563139,6.840870245338713,2.287353686474047,2.5413904065988246
bible,25,gov,10,gov,32.173887674904016,5.899652932851122,3.7997858312801887,3.832337467759157
bible,25,gov,25,flores,16.10861140045273,-3.7202608589591883,3.507298988624839,4.390544394130902
bible,25,gov,25,bible,5.948290419937759,9.702375768132235,2.6235951129326462,2.7874309416456273
bible,25,gov,25,gov,35.28989886621499,7.067914808018099,4.547148277072211,4.561886697112588
bible,25,gov,50,flores,27.645165543454908,-30.236006816497763,2.01841204381783,8.301088463301769
bible,25,gov,50,bible,15.295081338888647,-8.220862483603415,0.28464262041304916,1.1706448045471451
bible,25,gov,50,gov,38.72605316879294,8.097455274584753,5.535044090965308,22.763880540987355
bible,1,gov,1,flores,2.8050289946436884,4.715444139294353,2.0839065336073905,2.4965699092586044
bible,1,gov,1,bible,0.9552896063159627,7.457215717658151,1.9494733156061017,2.0779068285453723
bible,1,gov,1,gov,10.274671507643335,19.676555100257552,3.4264549788948884,3.5233292560658995
bible,1,gov,10,flores,12.057421699131368,-1.2428023257165046,3.5231003780777663,4.424088001838329
bible,1,gov,10,bible,2.700470171106264,10.879180034221292,2.456350667749833,2.5754291140129357
bible,1,gov,10,gov,30.981091843752044,6.597048415120677,3.953002126242813,3.992590644653737
bible,1,gov,25,flores,15.098674690275177,-2.984648823396681,3.6779728081737844,4.602259895923105
bible,1,gov,25,bible,2.8095419066666087,11.527820579169324,2.500664764508985,2.5969762932094396
bible,1,gov,25,gov,35.110644564785844,6.486567779163967,4.346053255303331,4.379576568961134
bible,1,gov,50,flores,27.58589251539841,-30.932465483117,1.9123903193973146,7.865054742618959
bible,1,gov,50,bible,10.658428247555054,-3.1533001620521066,0.3921334680356971,1.6127205629776578
bible,1,gov,50,gov,40.19440696323111,4.2419599050726315,5.477421814259491,22.526898395610683
bible,10,gov,1,flores,5.775938391477807,0.009055579511248784,1.9610199293870088,2.4639020410185832
bible,10,gov,1,bible,0.5920577993248471,6.082097120920255,1.630969755169707,1.909274231948897
bible,10,gov,1,gov,16.205018796080815,10.913629718844115,1.7042289315768018,1.8533870609670484
bible,10,gov,10,flores,13.582591128381617,-3.1271540363399564,3.4417720680229924,4.306112526518151
bible,10,gov,10,bible,5.136916139432276,8.211637968334562,2.5158303396006194,2.6949521780212113
bible,10,gov,10,gov,31.2110576601731,7.42205997115492,3.8325167830647473,3.8650228364815757
bible,10,gov,25,flores,15.340928703924,-2.6775365734526555,3.5784398180118924,4.456634869111322
bible,10,gov,25,bible,5.922742035887773,8.466195412291967,2.6080784660187817,2.7877081032581508
bible,10,gov,25,gov,35.18568083645505,6.898954703346223,4.378109400154395,4.398819315204396
