model,pareto,rawlsian,cc_align-gov-flores-ka,cc_align-gov-flores-gu,cc_align-gov-flores-hi,cc_align-gov-flores-si,cc_align-gov-flores-ta,cc_align-gov-bible-ka,cc_align-gov-bible-gu,cc_align-gov-bible-hi,cc_align-gov-bible-si,cc_align-gov-bible-ta,cc_align-gov-gov-ka,cc_align-gov-gov-gu,cc_align-gov-gov-hi,cc_align-gov-gov-si,cc_align-gov-gov-ta,cc_align-bible-flores-ka,cc_align-bible-flores-gu,cc_align-bible-flores-hi,cc_align-bible-flores-si,cc_align-bible-flores-ta,cc_align-bible-bible-ka,cc_align-bible-bible-gu,cc_align-bible-bible-hi,cc_align-bible-bible-si,cc_align-bible-bible-ta,cc_align-bible-gov-ka,cc_align-bible-gov-gu,cc_align-bible-gov-hi,cc_align-bible-gov-si,cc_align-bible-gov-ta,gov-bible-flores-ka,gov-bible-flores-gu,gov-bible-flores-hi,gov-bible-flores-si,gov-bible-flores-ta,gov-bible-bible-ka,gov-bible-bible-gu,gov-bible-bible-hi,gov-bible-bible-si,gov-bible-bible-ta,gov-bible-gov-ka,gov-bible-gov-gu,gov-bible-gov-hi,gov-bible-gov-si,gov-bible-gov-ta,bible-gov-flores-ka,bible-gov-flores-gu,bible-gov-flores-hi,bible-gov-flores-si,bible-gov-flores-ta,bible-gov-bible-ka,bible-gov-bible-gu,bible-gov-bible-hi,bible-gov-bible-si,bible-gov-bible-ta,bible-gov-gov-ka,bible-gov-gov-gu,bible-gov-gov-hi,bible-gov-gov-si,bible-gov-gov-ta
linear,False,False,1.9292154660954568,2.418937734801517,2.0918917056258457,1.6904649071025768,1.4661884240655485,0.2554475294716392,0.4015357248770509,0.7356954936384389,0.4074773628901004,0.7035683609731401,3.3842942220664485,2.783121385130821,3.711625565626751,5.27773093015835,4.131008411931002,0.3769743150633192,0.5132226753844248,0.3101497464996533,0.2796178384486614,0.3080388382845028,2.2103648424634046,1.8763671415074683,2.0035888490546703,2.9510722378454863,2.376508667395435,0.0623450104911286,0.4260134135556011,0.173259832278734,0.2452522629283204,0.2153769224533867,0.3989155268006108,0.5588067741627434,0.3051489972701021,0.3701326859667915,0.2366608857366085,2.162574082079073,1.7783844419378556,2.0232317928865804,2.931283732468874,2.1310859444364065,0.3759017128619157,1.4997555459692675,0.6226158412553549,1.343572805899239,1.2192738533247205,1.9207265274670575,2.138006004342518,2.3686948255274083,1.6708008084509045,1.1766734591347092,0.7916223974081689,1.3788186105145177,2.028173905314064,2.528387994006509,1.7946287694936336,3.9449689707283713,2.829837231004876,4.015258464315477,6.009419266029123,4.359954238540139
poly2,True,False,0.2614064529940975,0.0866025403784417,1.199996567062257,0.8602915332330099,0.7763325811111232,0.0408248290463862,0.1154700538379251,0.4324304770878814,0.3408830592800039,0.3383868482734297,0.663952809568036,0.2254624876411524,1.6809564111909536,2.4269750928036182,1.816563125529392,0.0288675134594814,0.2198484326378812,0.0912870927204014,0.1554563175514804,0.1471960144387978,0.2041241452318711,0.0577350266527171,0.1154700538378862,0.1683250830588971,0.122474487139162,0.0645497224610403,0.0288675134594811,0.057735027007157,0.0645497224367903,0.1755942291207393,0.0769800358919503,0.0509175077217319,0.0869474876308609,0.092671526577003,0.0768785333637286,0.4660462145522746,0.3197221019225392,0.1755165573776152,0.2965068716049293,0.2062386406507054,0.0713624032148062,0.1761207497971959,0.2444972193608663,0.1487019701463085,0.1787989184558466,0.4309496400077203,0.1539600715615044,1.2074601083666583,0.7609393940594732,0.5037392463255171,0.3002699402851992,0.6030593304800892,1.3743409837954357,1.346434025980192,1.0993349634605831,1.5059680664497634,0.3517153736809757,1.9995280941473157,2.8274979431832152,2.012627134340608
poly3,True,True,0.2614108550520443,0.0866030157896835,0.1802775637470819,0.1328114787505543,0.1598610507775197,0.0408248290463887,0.1154700538388341,0.1662494778609413,0.2124591464051739,0.140435829553013,0.6639528095681005,0.2254624808174306,0.4315669130136091,0.2568505836117711,0.4048319261816167,0.0288675134584822,0.2198484326378748,0.0912883941070718,0.1554559744403139,0.1471978828747058,0.2041241259158092,0.0577350269189864,0.1154700538379057,0.1683250823060903,0.1224884387961557,0.0645368412034629,0.0288675134594813,0.0577409823174075,0.0645514053568965,0.1755942279826091,0.0769800358919502,0.0509175077217315,0.0808662590444976,0.0900102874778844,0.0677857463439586,0.4660462148196,0.3197221036235669,0.1725355571901755,0.2958822337794815,0.2038120512621333,0.0713624032148062,0.176120748226028,0.2318654223338961,0.1473531912193446,0.1444978533692548,0.4309496404367843,0.1539600718080761,0.1099768494429816,0.1078514925463777,0.0955612078597029,0.3002699402821349,0.6030593287495506,0.9160604055774432,0.7917178348304202,0.671958166945764,1.5059680704125606,0.3517153768758316,0.1349296802432053,0.2819410236962099,0.1775932198751475
exp,False,False,2.6586164358831703,2.9101401388278854,2.422495424920339,1.9625165888249827,1.9726081998531972,0.3670615002376347,0.5416788912576065,0.8100033793846992,0.5258350038481903,0.9170843661977716,4.064284970476908,3.176094607222205,4.003052710333551,5.823440987624655,4.555275697820435,0.5286629802263301,0.6049027707536124,0.3482174701421517,0.3082519904903519,0.4495294775076184,2.788169758691354,2.24001793643276,2.384634846742104,3.458217353770673,2.857757851765102,0.1178142969015843,0.5975974546048101,0.2258117278806409,0.3514485004986202,0.4193593424119611,0.5498055404479758,0.6512434416619755,0.3361542543334068,0.403164050949135,0.2859476292617635,2.666066512614262,2.075942448194243,2.3456724632510264,3.292916074904479,2.5184254607436927,0.4531767023181782,1.6631277910650275,0.6816644616754888,1.4931408781600206,1.4192608222842331,2.622598149688984,2.5145161132550906,2.6567938102340385,1.8884385333788545,1.4691515108308908,1.2894383639702651,1.486873426661892,2.095922528528869,2.7755620841868254,1.942318591173978,4.734524093339024,3.177791532015807,4.263395633954367,6.543399470539367,4.736629458609622
log,True,False,0.3590883749629928,0.7036014362063857,0.3407856040242044,0.3441911819391576,0.3005946916476043,0.0446629841779082,0.1018855683195142,0.2609836769372873,0.2214002099312744,0.1794182844272483,0.8610205706294641,0.4285545047562383,1.0091628113472215,0.8816422226550075,0.7865453394436132,0.1384566094320479,0.1722982040553202,0.1139506267115427,0.1381771559679746,0.1358638950530991,0.2731352927159417,0.1558426917779125,0.2652492065103474,0.3229805652878001,0.0872578008148961,0.0615086733711632,0.059775663136622,0.0557473184604178,0.0913644348720211,0.1631109466967761,0.1236404680097566,0.0781765609383801,0.1207725024727072,0.1795427284431524,0.0997727573585672,0.4941564614735678,0.3588619378873854,0.2431943687368309,0.4787999698189312,0.263253586814182,0.1924367772620017,0.5215178843854104,0.3331315072980398,0.6009432551533254,0.4241742796786456,0.4615429481086268,0.4133924004943647,0.3002327952848626,0.2820339136883324,0.2865462244595794,0.3790218253467241,0.6883235831543337,1.1876609905211997,1.099097840331439,0.7923792394993805,1.5372390820006891,0.5117969509416859,1.1066255926083386,1.2569553105920317,0.7846962186761164
power,True,False,1.0635821658477396,1.2949725043505045,0.8940758131773971,0.8533541507864955,0.7216375356047625,0.1485878412806733,0.1844711562027265,0.4770252748235479,0.3461348723590201,0.4875609994436418,1.6349614491680915,1.004257464772153,1.676671715222236,2.164507365240375,1.7034291475635313,0.2488330773530821,0.2903762255680865,0.1673679937368777,0.1957330706385333,0.2017285401290629,0.6698456522709737,0.4277705004172714,0.3976088534469574,1.0528502719547976,0.7236178071582425,0.0570319870282939,0.2323807920909315,0.0831689866285827,0.1654851222104494,0.2186345474516457,0.235734877096924,0.2296773216216063,0.1569945302366917,0.2479877488923014,0.1245251302349748,0.7550203877901464,0.4684016433729229,0.4822167924785984,1.1158944124055254,0.5636771952780807,0.24679414747823,0.8648014894673263,0.3410160963025296,0.9091760952227448,0.701082067765906,1.164356309845682,1.0700305592561117,1.09416221288899,0.8284601373453934,0.4280637226625949,0.5868654296398178,0.8799233941376762,1.4488336927612158,1.7690819676161489,1.196663247527266,2.2567182453930803,1.07988402564709,1.902827085119458,2.8119493252983143,1.8540028453633648
mult,True,False,1.0310404328473368,1.264353940335545,0.5940398394595817,0.6872964314733786,0.4562909357778374,0.1362141370875564,0.1772253749457294,0.3961259100952079,0.1693243858048534,0.4057800775255458,1.4857911631232357,0.8393325516534356,1.4689123762591918,1.7623890933147437,1.417079890438354,0.2772641973177007,0.1902963340524618,0.1421675926176055,0.1476595910058073,0.1437057271765219,0.4474563806458622,0.2300374445987947,0.1752270206404426,0.8496300435986281,0.510016785065154,0.0653908962176139,0.2109097640572306,0.0842315879892541,0.1734103453987436,0.0917619962021571,0.2492299775204845,0.1712389357836466,0.1491700781825632,0.2230028633861318,0.114268013493377,0.7562254565379247,0.3733087729707755,0.3004913897770105,0.8684222480364702,0.3508730402398143,0.231961973645934,0.7861507945186593,0.3064964086319411,0.8757456984419975,0.6850725859447612,1.1064593280435004,0.870785050782631,0.8377140699754417,0.6618971010883222,0.2394185385535628,0.5294904531812832,0.7169724971315335,1.270415306719743,1.5260348545039046,1.0168035406430365,2.1857556661023674,0.8763116681138241,1.6167396804091172,2.293948872491634,1.4812794939563412
hybrid_mult,True,False,1.8999613344799309,2.5543045479867104,1.4183437700702917,1.158171494085655,0.8562162415422612,0.107302747356099,0.228371331929285,0.4192905651676825,0.1484567398753024,0.3472753222406386,3.978035202476928,3.2303031731294176,3.3243785598892086,5.107800474425885,3.794478924687296,0.2382249997814358,0.2396225698116274,0.1590482932739064,0.140105690944949,0.1199606399634242,2.425835366185939,1.9630355137929685,2.106143427042753,3.4978528340903607,2.692674274031714,0.0623853076588464,0.2221249079910805,0.0856466044856888,0.1271107998608956,0.0797858049795545,0.2566361145435429,0.2938743031794397,0.1760839633660421,0.2287636838181549,0.1181571909744833,1.9751172375650023,1.438767247102456,1.6754793649714663,2.6267031714940825,1.8017975209940087,0.235084473388435,1.1884135766410036,0.352537461745593,1.050783800215109,0.8807834591853544,1.7183148696984611,1.82178869791374,1.7656843732073195,1.1494626095579483,0.6276341899240179,0.5298101701443841,0.9767408828341017,1.503411254342314,1.942437622768341,1.2795984496415345,3.889373028890036,2.5813222123889448,3.422552095041052,5.481176198503968,3.7584821600516873
am,False,False,3.9777224237177857,4.356836279202786,3.612699560204889,2.462697111883444,2.6641812765066324,0.5648345236258812,0.8637449081790692,0.9840283343674632,0.6451297620685653,1.0019153350495484,6.626667464117353,5.931547613732922,5.28305666467839,8.345556294750846,6.316583532831745,0.5950364921526676,1.0883269030255418,0.5346989275419021,0.4648369105989077,0.6692037977832023,5.848133627702376,4.987144679786424,5.537498431059817,6.5589129680936376,5.8626509361152,0.1239413137749802,0.8865464470143491,0.3143508394932481,0.4225722205931856,0.52517918669563,0.4237243017935987,0.908780407916007,0.4610356661337847,0.564061712073402,0.5175762310747909,3.733071633758183,3.578002797073203,4.94069485836751,5.945480304243793,5.224279866384495,0.3813576297938309,2.4657094354402425,1.2418862772127095,2.146772036783294,2.3039785118591274,2.7643892402731294,3.404923517472476,2.94378937956674,1.9717796062434043,1.61007378421827,0.7970369856161623,1.7032731413457776,2.0580473466279563,2.711029625669103,1.9745597446551568,5.64350974693151,4.677026518283788,4.706532868606115,7.10505049852422,5.149154882976516
gm,False,False,3.105611093031824,3.707530214192841,2.4271621408340014,1.8996481304192148,1.7205895714140955,0.4086256269062935,0.6702174716907605,0.7480902985442317,0.3065132020124326,0.7354351113962887,5.527529704852265,4.8302210779482815,4.550456552363633,6.689495984886091,5.198668915196363,0.5249579731628815,0.6610860890874883,0.3857504402228954,0.2910701925042424,0.3875100271876711,4.231652800329073,3.656829504357398,3.901050826917354,5.151312881162572,4.436012159695775,0.1042916451924854,0.6341613779417816,0.2554386117071274,0.3312214487442439,0.1804681986163799,0.498931746739413,0.9460807061105428,0.4268343401855481,0.513654241343522,0.4504149529514863,4.088267428138832,3.80374989730849,4.302226217812768,5.2641225205903375,4.576795214902298,0.4034236879771435,2.4812070074606094,1.1673618891358872,2.0034342708318857,2.1201035757917266,3.070225678089773,3.581012208099954,3.4717289144481462,2.3291309399606965,2.0788257577553657,0.8345649278187044,1.6023519268152553,1.9259092996685152,2.783510785013923,2.030684943682043,6.2719044319318655,4.947402644571457,5.28639314651501,8.176888684687658,5.978761285855696
