model,pareto,rawlsian,ka,gu,hi,si,ta
linear,True,False,11.197114313119798,10.851534389811098,11.8035741366472,16.023276005857216,12.883460838737172
poly2,False,False,11.197163625263512,10.87371229684496,11.806775434475265,16.027826889292097,12.886652835891692
poly3,True,True,11.195087994245682,10.878009272588246,11.789043738449497,16.018446696954843,12.877452988511584
exp,True,False,11.197257586166268,10.85147272432821,11.803502555779833,16.023199720154988,12.883470159682489
log,True,False,11.187611896650369,10.854243209205466,11.802621876856636,16.022517914749624,12.882821706232
power,False,False,11.187854189447837,10.854459047250996,11.802850199934694,16.022732462943917,12.882951669233584
mult,False,False,11.187854189447837,10.854459047250996,11.802850199934694,16.022732462943917,12.882951669233584
hybrid_mult,False,False,11.189405988198278,10.8552753963293,11.803700701971898,16.02334390319435,12.883851322949113
am,True,False,11.197114313119798,10.851534389811098,11.8035741366472,16.023276005857216,12.883460838737172
gm,True,False,11.197114313035163,10.851534389995772,11.803574137170548,16.02327600711837,12.883460840348707
hm,True,False,11.197114313119798,10.851534389811098,11.8035741366472,16.023276005857216,12.883460838737172
