,pareto,rawlsian,mean,min,25%,50%,75%,max
linear,False,False,12.039170181244685,10.419346209922669,10.831250439674566,11.20250114519713,12.316658146577888,15.426094964851174
poly2,False,False,11.979442384780675,10.315379774851024,10.753398608169194,11.172059593049992,12.275315933728232,15.38105801410494
poly3,True,True,11.94766671774851,10.315379774463503,10.75339860787241,11.11840978642566,12.232265320329612,15.318880099651365
exp,False,False,12.074045015654512,10.446100529787854,10.857550265633035,11.23784305889411,12.358940483252097,15.469790740705465
log,False,False,11.968446066128726,10.317499834417072,10.75410043351472,11.160852665830848,12.260062119035076,15.349715277845908
power,False,False,11.962606619860532,10.324512034878737,10.760416579048211,11.143837785857238,12.245391899737893,15.338874799780584
mult,False,False,11.962606619860532,10.324512034878737,10.760416579048211,11.143837785857238,12.245391899737893,15.338874799780584
hybrid_mult,False,False,11.99179174808869,10.37277655821953,10.792805966485307,11.155127705429113,12.265535887280684,15.37271262302882
am,False,False,12.039170181244685,10.419346209922669,10.831250439674566,11.20250114519713,12.316658146577888,15.426094964851174
gm,False,False,12.039170181968293,10.419346211968008,10.831250439659112,11.20250114608132,12.316658146679032,15.426094965453998
hm,False,False,12.039170181244685,10.419346209922669,10.831250439674566,11.20250114519713,12.316658146577888,15.426094964851174
