train set 1 size,train set 2 size,language to,c0,c1,c2,rmse,kfold rmse
25,1,ka,17.41536876728898,-29.96403825082325,0.5,5.908889001189126,5.996345634099006
25,1,gu,21.816406570042332,-34.79404868533646,0.5,6.872425769208468,6.971781523452649
25,1,hi,22.118333245653687,-39.54370363398969,0.5,6.544690690080378,6.608559189859246
25,1,si,24.548857158133774,-42.888043771824705,0.5,8.811971122205112,8.901142314616378
25,1,ta,19.60665004100488,-35.46190401585804,0.5,7.185868649413599,7.285548173022776
25,10,ka,29.66805718235732,-52.795009856342695,0.5,8.856578512213874,8.985194796702686
25,10,gu,34.212672980867644,-57.067498008115535,0.5,8.572221008529084,8.706893301068778
25,10,hi,35.505385321377275,-66.89779391663443,0.5,8.588728412647209,8.69703848526612
25,10,si,42.90004869215793,-82.19153445125596,0.5,10.932980640810694,11.108328662858936
25,10,ta,33.389588845382264,-64.6345048669423,0.5,8.729706306449613,8.891325561762953
25,25,ka,33.377345929120935,-59.553635889435085,0.5,10.10433420484031,10.239097503381288
25,25,gu,38.062733164716995,-63.9287832386663,0.5,9.315547223244131,9.45368110804314
25,25,hi,39.49094014351302,-75.16016734015896,0.5,9.298791094201254,9.398761883391606
25,25,si,47.62016845672339,-91.82578562430571,0.5,11.928360466104712,12.12899444031326
25,25,ta,37.56507707500953,-72.53961385408869,0.5,9.433261124841621,9.601845399956296
25,50,hi,39.30566700955867,-58.615173346164305,0.5,9.884378354228453,10.24663757068912
25,50,si,55.05835851304254,-98.36329458038874,0.5,11.13681740620156,11.766664440045494
25,50,ta,42.79026376269346,-75.06657363671096,0.5,10.202744166228518,10.78023407936421
100,1,ka,29.97922623647454,-58.94126751932791,0.5,3.320012046571925,3.357292391683677
100,1,gu,33.64344815030609,-61.48707763548188,0.5,4.758135022294512,4.805810263210636
100,1,hi,37.211791844199624,-75.14268591173432,0.5,3.362940615669152,3.396993384825132
100,1,si,44.274325637533295,-88.28523097150564,0.5,4.493083048477112,4.678531760395497
100,1,ta,34.31921222808286,-70.97629251636536,0.5,3.8708611352891293,3.9113269641220816
100,10,ka,42.898774076299254,-84.45103059499809,0.5,4.241776652428254,4.321607698299046
100,10,gu,45.643462986276916,-82.26273250927694,0.5,5.981200537495573,6.042060870532838
100,10,hi,48.03182442720395,-95.90216980626525,0.5,4.327497470003858,4.398440530795467
100,10,si,56.49111635804539,-112.50775978346883,0.5,5.976749104944327,6.224215389242979
100,10,ta,45.16917780845359,-91.70649669484169,0.5,4.422451358905479,4.4901018962486505
100,25,ka,48.21778976979494,-94.86655912964187,0.5,4.559582951304312,4.6565069312990905
100,25,gu,49.808232085318295,-89.97577590576304,0.5,6.1340282504930705,6.192894424966171
100,25,hi,52.658932391001315,-105.54331086933402,0.5,4.402361945973004,4.484094990242447
100,25,si,61.79672304819358,-123.68530810050203,0.5,6.490462378560648,6.759012497041638
100,25,ta,49.298681171188164,-99.42055795752215,0.5,4.660552081677869,4.7363280524664155
100,50,hi,60.2863772448698,-111.29178997282716,0.5,0.06094719608917477,0.13893135098440437
100,50,si,65.45703436820875,-116.30388890397369,0.5,3.855630581313757,11.435602552412096
100,50,ta,54.78273290522552,-100.38876942953081,0.5,2.56638369123749,7.383718326847262
1,1,ka,11.986847809584031,-23.770763465057527,0.5,4.637410424879105,4.80400619695991
1,1,gu,17.542490538385348,-24.327929639310668,0.5,6.186661488359043,6.617466335415056
1,1,hi,19.627748240616338,-33.95145941179878,0.5,6.179482241274783,6.503235065365882
1,1,si,24.873458745575494,-47.19146426015332,0.5,7.725617904230011,8.177256801454238
1,1,ta,18.138842819578027,-33.46216292387957,0.5,6.380267293456801,6.811204775873675
1,10,ka,25.768473894235335,-51.33744407270314,0.5,9.64933755421224,10.296013795951366
1,10,gu,28.90326928216534,-41.99709629424981,0.5,8.720123041737128,9.328172741210663
1,10,hi,32.8248854816013,-61.45257161549041,0.5,9.123983621942916,9.678656199489396
1,10,si,46.95137697689847,-98.74788839244007,0.5,9.953805874884385,11.024578538843747
1,10,ta,33.389324878354635,-68.48292748030785,0.5,8.26862922632579,9.161863581391998
1,25,ka,30.10791371997892,-59.45994536000669,0.5,11.478793466831506,12.201923818048714
1,25,gu,32.8159651878176,-49.19262744651023,0.5,9.965092983204759,10.610584505655682
1,25,hi,36.160978659702835,-67.97728763312007,0.5,9.995370838982035,10.54744963429686
1,25,si,52.46291758116785,-111.63155397621465,0.5,11.14688014397734,12.366176679896167
1,25,ta,37.608990965967706,-77.01005743984778,0.5,9.292728885519331,10.233399870090095
1,50,hi,22.074768728820942,-2.2476226139182676,0.5,11.261505813149848,14.812684119169473
1,50,si,57.051728614180924,-114.65121688588943,0.5,12.359251223251947,23.571918351532094
1,50,ta,36.9940579453771,-64.55496277788512,0.5,12.132555668120657,18.405533268544293
10,1,ka,11.164595736161516,-13.716505400733771,0.5,6.8565176703328685,7.177330017349817
10,1,gu,14.026641405046181,-12.750336652619481,0.5,7.081284842185829,7.539171263564584
10,1,hi,14.360886061913533,-17.833072325269274,0.5,7.116848044034566,7.431045374446912
10,1,si,14.627086596117852,-18.348900167547455,0.5,9.588434121160542,10.048812610514664
10,1,ta,12.878961830323217,-18.233183477770183,0.5,7.804353869038991,8.249865137953146
10,10,ka,21.745397266954818,-34.47349157621091,0.5,10.476295711197565,11.05816935582338
10,10,gu,25.64218828882139,-31.64646301308894,0.5,9.34465281246652,9.939055839224386
10,10,hi,28.06129375342448,-46.88467415745452,0.5,9.88700139453126,10.39287598446784
10,10,si,36.238514236561294,-70.03312845063795,0.5,12.624071997281453,13.706864546412646
10,10,ta,27.79953799074799,-52.607877268723875,0.5,10.03948127661447,10.899059446889858
10,25,ka,25.415256524853852,-42.04894162120028,0.5,11.982404906408131,12.624062392453741
10,25,gu,28.5310348927456,-36.15712536316872,0.5,10.396671738565397,11.02419118865001
10,25,hi,31.493290258423457,-54.15972341333293,0.5,11.00984067782724,11.523872718270491
10,25,si,40.8871325395863,-79.9361586432998,0.5,13.853763990829,15.10467775954662
10,25,ta,31.77973108783492,-60.37480417547978,0.5,11.116690426611186,12.013584418714023
