train set 1 size,train set 2,train set 2 size,language to,c0,c1,rmse,kfold rmse
25,gov,1,ka,2.4797482124606005,13.55390114036129,6.900476767794085,7.2590724387841306
25,gov,1,gu,6.42801689869647,15.357894050792806,7.984422987136062,8.42979951361195
25,gov,1,hi,2.3023300001625677,21.52082661099618,7.026788435017821,7.379603758253265
25,gov,1,si,3.195377677278716,17.769106555035332,10.05232831897372,10.74560530883394
25,gov,1,ta,-1.6342693384624756,26.88327939107901,8.292082015448115,8.911488433130593
25,gov,10,ka,6.4274660466042,21.190502501013512,10.893525758151947,11.347378194228405
25,gov,10,gu,13.079461889266506,17.190843628138794,10.92309770888296,11.50149398386999
25,gov,10,hi,8.193004080012589,26.371171138990313,10.053063335098798,10.63920341156591
25,gov,10,si,12.159655203366647,17.535392368162224,16.081662677043216,17.518825278484574
25,gov,10,ta,2.9027244996142376,32.972161951135405,12.365456809565814,13.426674585351106
25,gov,25,ka,6.428409101781798,25.538228077905103,12.071832465475433,12.567867602312386
25,gov,25,gu,13.909495395667394,20.01487169328348,11.84937228946629,12.452935334706723
25,gov,25,hi,8.772516740589017,29.28537151557065,10.747388614721002,11.328499163362752
25,gov,25,si,14.560676975724423,17.812285899692462,17.774651902804415,19.424142655189385
25,gov,25,ta,4.031126888699619,35.763792920790365,13.46398487604104,14.639150604209778
25,gov,50,hi,9.006108600354516,31.932846739339404,11.115663429691521,11.656283765295216
25,gov,50,si,15.046037028294359,20.121964142970377,18.83035061935274,20.505429286325057
25,gov,50,ta,4.622616311379645,38.398400526873935,14.00606870133337,15.171122552480862
25,bible,1,ka,-5.217347135372513,26.553447381626828,5.503350877874391,7.5301888224156315
25,bible,1,gu,-7.667191234698507,38.5856725268554,4.674665960615003,7.20161948956975
25,bible,1,hi,-8.493585780889518,43.67723134558159,6.068279280460838,10.908678456175172
25,bible,1,si,-10.558048745891956,46.198967178453145,7.183149317386292,15.658314086842466
25,bible,1,ta,-6.275625422289867,32.861615639829004,6.040891407676714,11.856776061820012
25,bible,10,ka,-8.378480613707335,42.81913283423987,8.623700278343396,12.03033311281412
25,bible,10,gu,-6.750379325083758,47.39855986599708,7.050538679763342,11.21205862225174
25,bible,10,hi,-12.183493146256534,63.41047646384901,9.03001898055206,16.234327886321193
25,bible,10,si,-12.293030643324347,62.85043555594247,11.280740706458516,24.713252058587614
25,bible,10,ta,-6.4078106442907465,44.116485816789854,9.651092910768124,19.457007506741494
25,bible,25,ka,-10.78814303910252,51.96923256774658,9.99584452828435,14.01674140116361
25,bible,25,gu,-8.20329742426252,55.333655502685495,8.088037966801062,12.863265645012794
25,bible,25,hi,-14.013545682709065,72.5491238305096,10.475347356467609,19.09240795818357
25,bible,25,si,-14.005643748367232,70.0802761319212,12.449337533392429,27.137274660234947
25,bible,25,ta,-7.258820553764039,50.746291089719605,11.048792082322707,22.33821465739558
100,gov,1,ka,39.91105434249604,-67.63739815501141,6.343670497480582,8.227113006542
100,gov,1,gu,43.334025522747694,-67.69447458878318,7.644670272894262,9.532124958575967
100,gov,1,hi,52.06467578683298,-98.48838729479034,7.095667104918479,8.893671492424653
100,gov,1,si,56.85496853242126,-108.40916768520967,6.37967308522894,10.595826341255039
100,gov,1,ta,45.26550248243124,-89.28141146257136,8.427774155308425,11.069522457963558
100,gov,10,ka,66.69490668565855,-113.39189521922727,8.725628612963128,11.316277016669513
100,gov,10,gu,70.0499567370856,-111.86786017692295,9.546940994461698,11.904062736888768
100,gov,10,hi,77.06277570325648,-144.09305935133764,9.166482049155762,11.489219953665723
100,gov,10,si,87.79611583942112,-164.9795765288866,9.39896306008889,15.610483333938097
100,gov,10,ta,67.45315298158222,-129.72549428277017,11.487366459500121,15.088166657409237
