train set 1,train set 1 size,train set 2,train set 2 size,test set,c0,c1,c2,c3,rmse,kfold rmse
cc_align,25,gov,1,flores,5.366666656814394,215.98453067617498,191.3327713735056,-700.7577634295948,0.6011100967089524,0.7089735485600955
cc_align,25,gov,1,bible,-7.832187732774546,-3.5745170763513743,0.2989318524441088,0.3868679671022481,0.26166031583609245,0.07369186394286042
cc_align,25,gov,1,gov,19.545089732351716,-20.11075235717056,6.402980441537332,25.95707405281293,1.4359638151715426,1.794383222085813
cc_align,25,gov,10,flores,-20.837431472595267,-5.387617843027805,0.16652907655045013,0.6225763794218858,0.9723025354458309,2.9366061559112744
cc_align,25,gov,10,bible,1.632056959481508,8.7057611784123,9.148609727683818,-32.326843631707426,0.0675933889015303,0.392093934412735
cc_align,25,gov,10,gov,31.745368003929173,-24.170123820932368,6.748120218084241,34.08549087586059,0.6293191703210078,0.7924464652986487
cc_align,25,gov,25,flores,-20.587869100067042,-5.424508268845621,0.15033377156053884,0.6217425106302111,0.7853782954880228,3.13678695226522
cc_align,25,gov,25,bible,1.9070749348585718,6.819854528846882,8.43998703521646,-28.19739636031017,0.092033017253926,0.524014599656327
cc_align,25,gov,25,gov,34.841609992638745,-24.25489070419536,6.739495335025139,33.844651549099446,0.43355604317801444,0.6388484482973982
cc_align,25,gov,50,flores,8.636684048479626,-0.0638122766615193,-1.1690604616783442,-2.178672009143402,1.565145245820896e-10,0.5079191101223732
cc_align,25,gov,50,bible,2.00053958496011,1.1155826879673776,1.617355684352839,-6.096780379977323,2.7632952317538494e-09,0.5972157329740785
cc_align,25,gov,50,gov,10.828024189693538,-6.434485246221687,0.11021938215381608,2.8310975251954864,1.082641701723364e-09,12.414337811768835
cc_align,25,bible,1,flores,-4.669170974351045,-2.8773421297308395,0.3483621579023501,-0.11350305943819046,0.4057052287207481,0.1814775299419166
cc_align,25,bible,1,bible,16.84985842207257,-576.930113887444,230.99889888223868,782.3847925102276,1.4862705091773012,1.5301094103922208
cc_align,25,bible,1,gov,0.849999985585262,-97.09037169838251,296.22135837385247,-245.50899974588978,0.3924283559911612,0.0743752715308377
cc_align,25,bible,10,flores,-7.323171032709732,-3.6691869476470886,0.3318367696679972,0.19895727453835577,0.3447013205880776,0.25556729350583957
cc_align,25,bible,10,bible,25.762078708993428,-740.1356996348899,297.53574072067494,999.9999999999942,1.3490046459698959,1.5499102163591503
