train set 1,train set 1 size,train set 2,train set 2 size,test set,c0,c1,rmse,kfold rmse
cc_align,25,gov,1,flores,3.74779573474043,-3.0419852722583363,2.095724957521604,2.2127705675019143
cc_align,25,gov,1,bible,-0.28445893276695894,-1.0348111918589047,0.7280114728369157,0.7353727755861825
cc_align,25,gov,1,gov,22.03633648878216,2.8288301885611897,2.7732943919261333,2.773297227797438
cc_align,25,gov,10,flores,8.800016189785246,-3.8741075521085446,2.955212712923956,3.164886951756199
cc_align,25,gov,10,bible,0.4590944637805902,-2.0220647994027234,0.8162897690430291,0.817554315622001
cc_align,25,gov,10,gov,34.72121252223902,2.867921575222077,3.785408760143287,3.786131002161956
cc_align,25,gov,25,flores,10.230483639953071,-3.9926731287699324,2.997469461300373,3.22675154615
cc_align,25,gov,25,bible,1.048029339369879,-1.8765593075813713,0.9873268622756892,0.9905204280724027
cc_align,25,gov,25,gov,38.29885387398794,2.848907524212369,4.265932298636484,4.266158593562329
cc_align,25,gov,50,flores,9.629680937726759,-4.428807362615973,0.9731537243633653,1.2729897289001413
cc_align,25,gov,50,bible,1.150665116607397,-1.9798926228621527,0.27948744746602056,0.3571167530532353
cc_align,25,gov,50,gov,42.3923443557893,2.766397176407516,5.330818810503376,5.396661873274139
cc_align,25,bible,1,flores,-0.09194074936416056,-1.470688277180338,0.637283771542223,0.6393428182596181
cc_align,25,bible,1,bible,17.917092795310893,3.1760027174362366,2.6553347956858313,2.657768038226446
cc_align,25,bible,1,gov,-0.8536661927625209,-1.554627708584638,0.41520367742333514,0.42964740251197403
cc_align,25,bible,10,flores,0.8943566327306092,-1.6743938678354418,0.8953781106185954,0.9027681612723844
cc_align,25,bible,10,bible,27.49026169946408,3.1144719488138923,3.469814324043325,3.4708233399448942
cc_align,25,bible,10,gov,0.2462898076390433,-0.9487863141443728,0.8687350041112673,0.8836259250659805
cc_align,25,bible,25,flores,1.1831823098829408,-1.611578007603624,0.9801494562748305,0.9808581720850769
cc_align,25,bible,25,bible,31.49017285026568,3.113655548743252,3.462916517521281,3.463413388245078
cc_align,25,bible,25,gov,0.551270817141068,-1.008479133176116,0.9323029006923818,0.9429427517249572
cc_align,100,gov,1,flores,4.662835976947906,-3.2726189949383535,1.8222143761970608,1.9393924418474249
cc_align,100,gov,1,bible,-0.06345883172799101,-1.0988648982765157,0.7000680041838869,0.7103245125405918
cc_align,100,gov,1,gov,23.66055715569882,2.862689264220768,2.29610433463607,2.2961606898361544
cc_align,100,gov,10,flores,10.342575791800197,-3.7832421440151345,2.836940297483729,3.0234288800050293
cc_align,100,gov,10,bible,1.6899894231826986,-1.1094577967392842,0.922960032103948,0.924118271013348
cc_align,100,gov,10,gov,35.30076121431766,2.8643161586258064,3.852977045246823,3.8529818426484708
cc_align,100,gov,25,flores,11.616072389251666,-3.9807974552074956,2.626601750571553,2.7853152554806617
cc_align,100,gov,25,bible,2.0488141280637,-1.2061453216968359,0.9588127395590587,0.9687041211592603
