train set 1 size,train set 2 size,language to,c0,c1,c2,rmse,kfold rmse
25,1,ka,17.41473558457416,-29.962210710205962,0.5,5.9088890019743925,5.996346844642739
25,1,gu,21.816035757045576,-34.79295716212335,0.5,6.872425770449403,6.971796667603839
25,1,hi,22.11843842562006,-39.54402428525693,0.5,6.544690690189046,6.608540451815231
25,1,si,24.549121459947575,-42.88878305999128,0.5,8.811971121935558,8.901236609590084
25,1,ta,19.606170761987048,-35.46047643877934,0.5,7.18586865147114,7.285559218521378
25,10,ka,29.66910515749994,-52.798211793516,0.5,8.85657851781003,8.98518789312958
25,10,gu,34.21429617292989,-57.07252726757845,0.5,8.572221014481796,8.706884968966692
25,10,hi,35.5048847224067,-66.89617895840995,0.5,8.588728410665293,8.697042240322146
25,10,si,42.90488061165506,-82.20624009715324,0.5,10.932980445025313,11.108281603833353
25,10,ta,33.389781324136436,-64.63512004900346,0.5,8.729706304712757,8.89127998499599
25,25,ka,33.377292252352895,-59.553470790216736,0.5,10.104334204822262,10.238931709116066
25,25,gu,38.062940231113494,-63.929430141546455,0.5,9.315547222591727,9.453668925849673
25,25,hi,39.490723990316845,-75.15946364659158,0.5,9.298791093792454,9.398756577199963
25,25,si,47.621069326441734,-91.82855510394207,0.5,11.928360457328983,12.129089250935596
25,25,ta,37.56549438854203,-72.54095907971059,0.5,9.43326112054103,9.60119363436419
25,50,hi,39.30495367547392,-58.61285821847859,0.5,9.88437835817984,10.246664530643715
25,50,si,55.05696244244437,-98.35904937387693,0.5,11.136817400927054,11.766687842831695
25,50,ta,42.78979816927896,-75.06506605121717,0.5,10.202744159254127,10.780163508610984
100,1,ka,29.979166059420944,-58.94111036831507,0.5,3.3200120468769607,3.3572967962646225
100,1,gu,33.648862714197854,-61.50107909729621,0.5,4.758134715612948,4.805803952134529
100,1,hi,37.21165409220696,-75.14230993164637,0.5,3.3629406159201953,3.397141155539589
100,1,si,44.274214198497106,-88.28494521383644,0.5,4.493083048731287,4.678540961476218
100,1,ta,34.31925179444617,-70.97639964671399,0.5,3.8708611358410208,3.9113257957632994
100,10,ka,42.89861917343408,-84.45060591519378,0.5,4.241776650207814,4.321818146729993
100,10,gu,45.64363329581433,-82.26319083923997,0.5,5.981200534051647,6.042135965019437
100,10,hi,48.03090194541759,-95.89953374771014,0.5,4.327497484857815,4.398453920560853
100,10,si,56.489948554633116,-112.50454834614457,0.5,5.976749151289462,6.224263391651072
100,10,ta,45.168614568128014,-91.70487777325282,0.5,4.422451358525932,4.49014128079187
100,25,ka,48.21820326046533,-94.86769571255753,0.5,4.5595829456830295,4.656423251911615
100,25,gu,49.80756785969493,-89.97396957580595,0.5,6.134028239879955,6.192774084926686
100,25,hi,52.659068938368506,-105.54370302766563,0.5,4.402361944614119,4.484112043873458
100,25,si,61.796192925718785,-123.68384240212855,0.5,6.490462375370493,6.758989309578817
100,25,ta,49.29989933520531,-99.4240861978911,0.5,4.660552053086306,4.736212222617327
100,50,hi,60.286376665257755,-111.29178833751895,0.5,0.06094719608879047,0.13893130948433988
100,50,si,65.45689999800534,-116.30352958068251,0.5,3.8556305814927803,11.435602381341296
100,50,ta,54.78272777052883,-100.38875494867925,0.5,2.5663836912314846,7.383718371346238
1,1,ka,11.986797952057959,-23.770598396253114,0.5,4.6374104248974115,4.804002492064303
1,1,gu,17.544037947037467,-24.332901319411732,0.5,6.186661484179896,6.617466323364844
1,1,hi,19.62528199626047,-33.94334354147804,0.5,6.179482271081447,6.503234096815252
1,1,si,24.871293902225776,-47.18502945787658,0.5,7.725617883911826,8.177353365465537
1,1,ta,18.136669751607204,-33.45517706216689,0.5,6.3802672417765685,6.8111503947574565
1,10,ka,25.768495715141274,-51.337521374885426,0.5,9.64933755415176,10.29605283023369
1,10,gu,28.901998419940146,-41.992765308285236,0.5,8.720123025277298,9.328166989867347
1,10,hi,32.826449986392824,-61.45806954811792,0.5,9.123983605265877,9.678546473840917
1,10,si,46.950198186930734,-98.74402875826297,0.5,9.953805867442775,11.024582014785372
1,10,ta,33.38957098421122,-68.48378529833569,0.5,8.268629226056213,9.161947968665638
1,25,ka,30.10968447893953,-59.466253110426905,0.5,11.478793474698145,12.201895882976972
1,25,gu,32.81610074101911,-49.19309356906075,0.5,9.96509298307738,10.610475563468063
1,25,hi,36.16245208093174,-67.9825169549614,0.5,9.995370838039278,10.547476996559766
1,25,si,52.46388262502061,-111.63474250279342,0.5,11.146880148201305,12.366131767660546
1,25,ta,37.60761760483936,-77.00521315949716,0.5,9.292728907746776,10.233504278174408
1,50,hi,22.07445375858715,-2.2464671703898196,0.5,11.261505812249972,14.812684132114155
1,50,si,57.05157421734173,-114.65069065275016,0.5,12.359251222874507,23.57191830153941
1,50,ta,36.99295966972149,-64.55086220493268,0.5,12.13255565696954,18.40553327023509
10,1,ka,11.163867681156875,-13.713933101043924,0.5,6.856517665220142,7.177330426858168
10,1,gu,14.026826126284398,-12.750966080159106,0.5,7.081284842840674,7.53918958324298
10,1,hi,14.361058008440569,-17.83367674298356,0.5,7.116848043473385,7.431044794199607
10,1,si,14.626292689925947,-18.34630201591998,0.5,9.588434125310641,10.048819496221443
10,1,ta,12.878988513751475,-18.23327655462471,0.5,7.8043538689983984,8.249874898964254
10,10,ka,21.743498417281522,-34.4663046428036,0.5,10.476295688680173,11.058128195622308
10,10,gu,25.638259255111002,-31.632222733125275,0.5,9.344652868621457,9.939054623667142
10,10,hi,28.061672945387667,-46.8861035278718,0.5,9.887001396311032,10.3928814197427
10,10,si,36.24004380342937,-70.0386826342939,0.5,12.624071979208422,13.706939168554499
10,10,ta,27.799477717160528,-52.607648413060915,0.5,10.039481277040343,10.898233730963648
10,25,ka,25.412841405607935,-42.03972215963576,0.5,11.982404915617568,12.624037914328868
10,25,gu,28.531788048221745,-36.1598813459258,0.5,10.396671742284985,11.024196110271246
10,25,hi,31.495078700451273,-54.16653297855014,0.5,11.009840680108828,11.523938567566326
10,25,si,40.88718666812285,-79.93635781754843,0.5,13.853763990652329,15.104455865851623
10,25,ta,31.779245674190257,-60.3729332885648,0.5,11.116690424461426,12.013658415964235
10,50,hi,21.69957606538,2.183764600344265,0.5,10.41493835362089,13.21980828284706
10,50,si,49.02173760913068,-92.4262852850134,0.5,14.0701503788024,21.934109267700432
10,50,ta,34.35812698454875,-54.41659481115252,0.5,12.585333752675188,17.907701126540932
50,1,hi,22.84783693661928,-53.647749976593246,0.5,6.165659740965978,8.10992522003896
50,1,si,13.132393676162014,-15.774145518878466,0.5,10.184543359350426,19.424253118501568
50,1,ta,13.588521275975108,-25.434412017523048,0.5,6.861107948741924,10.408553185081947
50,10,hi,34.313666966484426,-85.02633475346057,0.5,7.756255832810507,9.845110142848142
50,10,si,29.522317571283665,-57.37533349975652,0.5,12.849931755031754,20.031897331667775
50,10,ta,25.183652037342476,-52.803802074039595,0.5,8.683480946913381,12.35574567398727
50,25,hi,39.67766252494662,-99.94565157818262,0.5,8.597876219997165,10.842868554607586
