train set 1 size,train set 2 size,language to,c0,"c1,1","c1,2","c2,1","c2,2",rmse,loo rmse
25,1,ka,24.47744594651849,-16.622453961828338,16.578257946946604,-21.05838330388712,-35.183755206351975,1.9337323721707251,2.0737917920992355
25,1,gu,25.097952722876826,-61.28226927624835,79.65562942838814,55.03067393712873,-151.1949509889085,2.7702543660949437,2.9748730585264704
25,1,hi,29.3075539375048,-29.02695291427709,33.956816919955614,-15.085978361193655,-53.39584573039365,1.6184451449623543,1.7559620654364043
25,1,si,45.93799945308389,6.520207809329392,-15.93388643342569,-143.10661947105353,113.35635186614708,1.0915271300802034,1.1012126215860336
25,1,ta,31.92675677167989,-12.586190496779526,11.309463527206118,-68.87856631719754,32.79978064263483,2.4360887337933055,2.8967731564142394
25,10,ka,39.13120343041308,-28.15286939683181,27.397008333899162,-32.851643516135596,-57.186091283427004,2.722447499259538,2.839282011116601
25,10,gu,43.131907783782495,-81.57790183894411,95.10163031599882,37.326022093459784,-159.26630221484234,3.793558129563534,4.048764880277965
25,10,hi,48.05705257206557,-82.99887768961645,111.52713988530499,-26.156741269325074,-67.74299483817525,2.5214632418170155,2.6479886765006313
25,10,si,66.84182981781404,-25.22601422089342,15.489239193041817,-189.3069104157916,156.9603621036733,2.387006961812354,2.458196488704169
25,10,ta,51.7412255786897,-25.91141138919168,19.0204698605323,-135.52661945643277,106.58441536459866,2.682767570450356,3.0317779484864316
25,25,ka,43.341187881562824,-31.262849059852915,33.46457006664836,-37.5517892211492,-63.51000375785244,2.7244818494069385,2.841435676137336
25,25,gu,48.487890659630835,-80.75976641781455,92.94161447352667,21.988959909098,-147.22824185096314,3.9510972755727973,4.199511675385972
25,25,hi,53.555387446524826,-90.1017917630188,121.59203240515092,-36.70798410051311,-62.73302069677817,2.2843700879484965,2.3391478271127912
25,25,si,73.59582090965402,-31.73744040459291,23.091339077744472,-208.42068160478004,174.72903321872576,2.8044822309112267,2.875335381211418
25,25,ta,57.15423783884556,-35.402803742780584,31.97898943491146,-143.1094775046228,109.58837227058595,2.689781074192951,2.9876895661281386
25,50,hi,62.312984141897275,-43.149883772404785,37.28749322344962,-98.93861827426767,18.231851314158416,0.029071979581703523,0.07231071381179975
25,50,si,83.4054031158857,-73.44011466803853,75.08063787976171,-182.48276776267164,127.28349459107207,0.3266866042389404,3.573850859274003
25,50,ta,64.71377864755016,-39.2854838445311,36.675015624560864,-151.48617773955203,110.0958207931934,0.30166132216876523,1.2015755331816318
100,1,ka,-245.45867538713114,1084.408533784078,-1127.1829831491987,77.79229436568004,-179.8887420206491,1.0411214987088435,2.2291169225887546
100,1,gu,-204.01188608679573,875.1067419771489,-907.6221532006484,155.44501524511315,-293.83369503746917,0.7195257607961735,1.8891053101413544
100,1,hi,-202.39476373929867,1003.2172949916492,-1158.7195674469979,92.84842093585203,-213.51120420994215,0.4986907950504948,1.1177885384642643
100,1,si,216.35302430955355,-929.7174756876165,1069.00598235195,20.737414772256827,-102.96355277133931,1.3801708886714656,3.1539407332847285
100,1,ta,-1116.8918543774062,5322.742778928172,-6308.472238250729,323.37687447978595,-505.8164815948866,0.7663578732512519,2.0633167279553595
100,10,ka,-331.9555842292317,1507.5495208966713,-1574.8944435933497,78.16638805201036,-225.1143342635458,1.3843665475743079,2.747329671245657
100,10,gu,-290.4633960782424,1292.413315491674,-1353.5935518463612,178.48854981585183,-369.8674547146709,0.5409896741875013,1.3035381608942094
100,10,hi,-331.60817608313505,1639.200646966142,-1888.7473212686245,122.51838257092577,-296.90311726002165,0.8461211030701481,1.6968803259454144
100,10,si,90.10416969319542,-158.49895058467618,172.16114224490127,-156.9408945451524,111.38648490805043,2.505213165261603,9.818191781338133
100,10,ta,-616.1979340230822,3169.213880295404,-3809.1694704608817,24.65814480196548,-126.65538926497726,2.3343530855506516,4.756131342037581
100,25,ka,-333.69043959153544,1530.2158278060244,-1594.481188314353,75.02579695515988,-235.4120571152721,1.217582672035316,2.418775428264436
100,25,gu,-283.7670966677161,1299.7226550409591,-1367.2870972870771,148.15819579854025,-336.40391240642316,0.6254823023641476,1.502061168770337
100,25,hi,-297.85428273344826,1505.541005380168,-1729.121344232442,99.57653495429147,-275.23710931534646,0.6100574688780098,1.2217422997761318
100,25,si,95.34439634389199,-158.31459613650793,173.36568280007194,-176.27578727904344,128.31210674089542,2.5119736876094647,10.62036267457531
100,25,ta,-761.6540738558598,3882.376847375149,-4658.204992567311,52.34060826227019,-178.23046108639457,2.316807823650313,4.711035194114854
100,50,hi,45.93208718285027,2.7792664882859808,-6.548151410382844,-57.39580291742013,-41.68819341560721,1.1929260929648697e-08,3.489719735181096
100,50,si,39.375175790422645,53.05691068099902,46.83323962219766,-120.73713015148896,-19.080136849184594,5.441689017690779e-08,15.295223112899102
100,50,ta,31.246549193505672,38.41186735758937,24.937621827275013,-73.29772402121252,-23.98032139467241,7.954437408373898e-08,10.842054275997977
1,1,ka,28.74887986769379,41.192278681619726,-126.29392643167141,-4.47041446282314,-102.231931149164,0.443227750622461,0.9489828811501154
1,1,gu,4649.374993404648,34390.0129680529,-90633.25117312859,34510.08631398353,-90854.35867899311,0.9033102867633884,2.371629133263781
1,1,hi,43.24483331111359,12.259225167218421,-133.93134128691798,91.74749780156793,-305.2236116072529,1.048819212930415,2.350871736077573
1,1,si,47.66659164299593,-53.36997599222729,58.3564969137068,-96.90718610250347,57.62156787225649,0.6987020095487783,1.5966607805039088
1,1,ta,58.00315160857067,-117.85776807155273,55.897302010631186,114.94913253482694,-308.7616266625478,0.8813346255274154,2.3728763531455486
1,10,ka,80.91971540258757,278.2746096773997,-748.5165984700739,133.47518956147712,-640.198495285792,1.691656615622401,3.0817580185826503
1,10,gu,-77.5913957242786,-872.422138485237,2068.1400689096163,-333.1192471029583,1238.3958104073206,1.7001054204866273,38.36268833661791
1,10,hi,79.8713172581619,92.41052229125386,-370.98325451365235,97.62677811735449,-470.08898567547305,1.5689932860642481,2.299965425431604
1,10,si,75.87358274665266,-27.159116119790234,-8.633515729025822,-179.36019671649126,120.69219799069967,1.8888196057037359,5.230957257528003
1,10,ta,98.37493438129145,44.671232057418194,-246.13302585414954,-84.51018931608098,-128.8278022776785,1.2762187037071937,2.5197069481403283
1,25,ka,87.33635602889063,286.68191326501113,-767.0514678154776,126.13856541782292,-653.455522924535,1.848149968693746,3.2095609943387458
1,25,gu,-56.62650652910521,-808.0452974627652,1870.172983071679,-259.7045045248345,1011.1134797658887,2.0776764416619806,268.8351270640322
1,25,hi,87.1085711492645,140.22320002455442,-470.18873507756746,86.94920092743737,-493.3223311771952,1.2627277331764182,1.7994435581709662
1,25,si,82.44788818679773,-48.37967531771856,23.597223812630098,-193.0538745121904,133.87707133255157,2.1276533686709946,6.838255100461684
1,25,ta,103.04617954377754,55.20491004807927,-261.4491738539885,-106.74250366918987,-107.02966277815071,0.957488103574814,1.932396243285228
1,50,hi,63.80290387182567,-25.039370598545013,-5.481486395752989,-85.08830457697455,-27.428241077475462,2.2593023112852198e-08,8.874087825553353
1,50,si,109.70367026117405,-68.40381330522355,-19.27116560363397,-140.30885710081395,-16.226886719201644,2.525116156959811e-08,21.315421337410502
1,50,ta,84.77853969720059,-55.04985353810444,-6.518258026064154,-110.02250074781169,-16.032269708372908,8.500291286319163e-08,16.852614392228208
10,1,ka,51.303459144571455,62.89977088631393,-302.3340296015256,175.74022201726183,-521.3057087889711,0.8608340985669299,2.006736322624651
10,1,gu,-6.581170570704098,-192.7028939342126,517.647793042406,-180.62018699885604,432.5126451336356,1.837404561952518,3.048179396531115
10,1,hi,53.59965419036726,35.329898694467396,-243.9187293301001,172.15622709785657,-505.75925395894495,0.539370441868902,2.5577209470056386
10,1,si,50.063065428743364,-2.3183081412253985,-21.87002468627472,-121.213616578478,68.3583074764176,0.7045975687237918,2.316508198311921
10,1,ta,40.0046098442389,-114.2030689675019,112.38358859953553,82.9371948741946,-221.57804771734368,1.6603989094875449,3.2539628199019597
10,10,ka,267.0358587796452,770.8538870597827,-2600.5789123919712,829.4251631659026,-2785.331620499048,1.4671805147471229,2.911677234823832
10,10,gu,-28.468457498793068,-326.4016954558238,859.8806499100145,-149.83083772888995,519.7889561725549,0.6712635382238947,1.6174387051032166
10,10,hi,189.05594347705076,288.7375625582109,-1245.577903008044,439.3695604226547,-1563.7946016430453,1.5818797061530943,3.1724306859209523
10,10,si,70.70911483706337,11.882912583989736,-47.19541104967868,-232.79961511443932,211.97702126932526,2.1867414894647665,8.57006805546894
10,10,ta,97.78025555564582,-17.37607173395725,-146.77911376657045,-65.56943799661376,-148.26348523810768,2.417503325375613,4.92554592815715
10,25,ka,254.12161940240014,721.2561962402403,-2389.725873110694,671.8704630126664,-2423.434917046848,1.9456157557353266,3.2126267659525345
10,25,gu,-21.729942011563086,-336.1723688248746,858.4693500345737,-124.71059281543353,455.7198332113869,0.5186212721233187,1.3452365086765956
10,25,hi,138.3971318118512,134.60151690493421,-689.8668931830164,219.93554485887293,-921.0097954992565,1.3982875739725182,2.225920853947148
10,25,si,70.85101393301625,4.9957730806402365,-17.11786116573269,-261.54616826231927,266.3922463610159,2.591764764129378,12.546328041387794
10,25,ta,109.69455868286313,-21.77232525543694,-162.43460363932013,-66.60105842400031,-178.7509767358279,1.99102146512484,4.7035142481880365
10,50,hi,68.02279033877888,-33.23381632596054,-3.9116251467524923,-88.80772560911564,-26.085239145176402,7.653219408368154e-08,9.282220562189583
10,50,si,111.79097334656929,-80.8409648548363,-8.10169901617362,-145.9469760760404,-13.076558027459338,8.441481720932215e-08,22.005210383712782
10,50,ta,85.92259102969918,-59.273259653578656,-1.6681482537636272,-111.98442773732296,-15.08306054674561,2.7099630629593067e-08,17.15732587185772
50,1,hi,30.24427441061444,-13.661805807247331,3.678039166505433,-38.092028319875084,-20.056805290566565,6.34340288533415e-08,3.276812946771159
50,1,si,48.223480602365655,-32.4930041462678,13.281710561463589,-57.865951472987746,-29.243353472914826,4.294395221594818e-08,8.189664451942997
50,1,ta,32.7604840818116,-21.875328636452934,7.444929368680662,-41.085067060133305,-16.548947629100198,4.3983604752136205e-08,5.548750418008873
50,10,hi,49.34519094153372,-30.28560659740372,3.554851887607987,-63.0775466938021,-27.116413833593295,8.636837367009553e-08,5.744597914362605
50,10,si,79.65153797357553,-65.93844912552257,19.334161895436655,-100.80969730097095,-33.886063353959095,3.790526654955157e-08,14.453025527505789
50,10,ta,59.23647795359815,-48.52129880307967,10.059176970216468,-72.95410814203055,-21.934316823725304,6.881322271459523e-09,10.70792092264155
50,25,hi,58.292697678505974,-37.59259725957906,3.0833664617323806,-74.47451191838316,-31.26099261870518,4.442428430953341e-08,6.948069827343681
50,25,si,87.09568484607014,-71.5645519400397,22.07510207404068,-111.55653810643065,-37.46521697944151,8.945847337886431e-08,15.812567873566566
50,25,ta,67.050348386304,-54.327089656777325,10.851269718314455,-82.55128139460754,-24.524274302871977,3.030563650853017e-08,12.165229698884998
