train set 1,train set 1 size,train set 2 size,language to,c0,c1,rmse,kfold rmse
cc_align,25,1,ka,-6.072895518350842,-11.240327873596973,2.6419916654546847,2.6478810332791705
cc_align,25,1,gu,-4.03796060824282,-12.502761309641006,4.731845303354411,4.775457580490586
cc_align,25,1,hi,-6.098230664827228,-13.64527182766772,2.999429544869711,3.015890116598755
cc_align,25,1,si,-9.929443812687259,-19.26408686461172,1.4918220214666693,1.4955015695992
cc_align,25,1,ta,-6.450855953224588,-13.199096219005888,2.892869412743321,2.8946685655174544
cc_align,25,10,ka,-8.540568456956027,-16.734599619716125,4.27468893444277,4.309489995250844
cc_align,25,10,gu,-4.291982832907633,-16.0847939318828,6.392652443972526,6.444473469133992
cc_align,25,10,hi,-7.403645246501709,-17.691153424407087,4.125415149896403,4.171700685320221
cc_align,25,10,si,-11.970879278000176,-23.12143400358575,2.2665513696781643,2.266929708276922
cc_align,25,10,ta,-7.884090255692519,-16.970536173119065,2.834204831408977,2.839456536510083
cc_align,25,25,ka,-9.300336362558886,-18.57119442048962,4.5544747428609345,4.592554468308417
cc_align,25,25,gu,-4.600945220765929,-17.576461162489004,6.768693989972127,6.821909145605485
cc_align,25,25,hi,-8.089804277601665,-19.212403377018276,4.246013691781829,4.290859199481485
cc_align,25,25,si,-13.063069214613042,-25.113149328721356,2.314405620208801,2.3150683766888482
cc_align,25,25,ta,-8.196671002344164,-18.3157677851154,2.740826582814366,2.7474023644982046
cc_align,25,50,hi,-10.225858823691317,-24.843235440140564,2.338526716715445,8.593900736545963
cc_align,25,50,si,-10.853548393308776,-25.977117690664237,0.5069633569967903,3.0946242031707323
cc_align,25,50,ta,-6.997806821644928,-20.519344545797825,0.5596409259997877,3.326587281341802
cc_align,100,1,ka,-6.111363671452239,-12.220536225692483,3.2683593483635853,3.2818019586017724
cc_align,100,1,gu,-3.634968597011542,-12.500048194292525,4.898140447036179,4.94033843076597
cc_align,100,1,hi,-5.899852701949046,-14.1213884225421,3.50744574336867,3.531008330414332
cc_align,100,1,si,-10.054992006750219,-20.029097272941872,1.7480384949866654,1.7486778400937057
cc_align,100,1,ta,-6.238433955177046,-13.632717131316221,3.3241649556830057,3.3289772231074672
cc_align,100,10,ka,-8.205136849263658,-16.773405220042772,4.322599555726945,4.359464678474276
cc_align,100,10,gu,-3.5360822623269392,-15.968606543835838,6.490324411668445,6.549003054023227
cc_align,100,10,hi,-6.746081283539746,-17.6172312268935,4.436324439154088,4.48902981576316
cc_align,100,10,si,-11.059520971629595,-23.02747895105777,2.5633207172511017,2.565287308008683
cc_align,100,10,ta,-6.870510546910738,-16.864187961830694,3.027301846605098,3.037727206576681
cc_align,100,25,ka,-9.059212528156952,-18.685029005531717,4.62434079674351,4.670920108318864
cc_align,100,25,gu,-3.8452733431654034,-17.311106585922566,6.717670366741902,6.775008401705751
cc_align,100,25,hi,-7.522771633533873,-19.25220845338066,4.461603418160562,4.522981356287804
cc_align,100,25,si,-12.255884474126997,-25.024106327568827,2.523336110191337,2.5247960772533045
cc_align,100,25,ta,-6.921964088955314,-18.029151498433155,3.0877511710104644,3.1010854269644
cc_align,100,50,hi,-8.171106983880826,-23.906518162922588,3.036075955600151,11.157339022274904
cc_align,100,50,si,-9.320875529130491,-25.50466133198756,0.5826288753706159,3.5565044185224353
cc_align,100,50,ta,-5.385919102278879,-19.934909033039755,1.0308792285567427,6.1276964764324635
gov,25,1,ka,-5.094041602916085,-10.015369519047086,0.3638912584950635,0.5295028409579111
gov,25,1,gu,-2.612078625359481,-9.223411419469814,0.44659902524979317,0.6568122175580182
gov,25,1,hi,-5.178902035508171,-11.358087932406173,0.43265885348363925,0.6308437536058797
gov,25,1,si,-10.029318968887448,-18.283252684464703,1.2869835171984525,1.967714570111402
gov,25,1,ta,-5.284381486120408,-10.484466269416611,0.7811932918689798,1.1774560527464946
gov,25,10,ka,-6.566372919939083,-13.556138447991444,0.56839392094626,0.8290769177024178
gov,25,10,gu,0.1832583897049226,-10.479504693541344,1.7758394602653793,2.618836373422278
gov,25,10,hi,-6.48253734644889,-14.883190952132148,0.7896749233423898,1.1548057179864102
gov,25,10,si,-10.272446266192455,-21.30633420156733,2.9779659563232452,4.552106336606967
gov,25,10,ta,-5.00963508185627,-13.583786670473987,2.3244355152175538,3.500142237129811
gov,25,25,ka,-7.988280381569014,-15.514722572668084,0.5168066367829877,0.7528159236188201
gov,25,25,gu,0.2085548457004307,-11.772318923776252,1.923844616615459,2.832675080707793
gov,25,25,hi,-7.289421979979468,-16.708853565885665,1.1464563987999918,1.6740999412614923
gov,25,25,si,-11.702581365045306,-23.38502324206037,3.190854176692097,4.878281827238653
gov,25,25,ta,-5.387134414545256,-15.17382341468126,2.6415600698012804,3.966606469694265
gov,1,1,ka,-4.72558788087991,-8.163474663963301,0.3859020103516981,0.5615309680402525
gov,1,1,gu,-1.2532952184084147,-7.909954511982301,1.084233198671353,1.5945794130266575
