train set 1,train set 1 size,train set 2,train set 2 size,test set,c0,"c1,1","c1,2","c1,3","c2,1","c2,2","c2,3","c3,1","c3,2","c3,3",rmse,kfold rmse
cc_align,25,gov,1,flores,24.96792664791147,-0.7818407190559583,-9.099413613322154,-10.119565635935059,12.309586393964558,-2.6759072502558086,-13.367292411153388,-19.802169732339927,-17.496349106273254,-10.676720991852049,0.4472135954999592,0.8944271918664378
cc_align,25,gov,1,bible,4.665605833725759,0.10008529522291659,-31.473467477052324,35.187613794199905,7.814435013887909,4.423337136918425,-7.276300882852182,-9.786714630115137,-6.759141393203635,-6.032126642016338,0.20124611797498207,0.40249222874346924
cc_align,25,gov,1,gov,12.676224990887306,15.635652934800202,15.891526534538684,14.15787671826118,4.84812972386695,-9.263665617286012,-9.316297118125977,7.075094607650413,12.21550125073899,6.416363823640374,0.08944271909999157,0.17888543842566199
cc_align,25,gov,10,flores,38.39584876209292,11.755935523468898,-28.788587763274688,-28.119218222184944,17.885380447171595,0.068617346076866,-16.057473618174605,-37.12346897347052,-25.308783749188983,-49.7577892456579,0.24596747752497755,0.4919349684545736
cc_align,25,gov,10,bible,-0.6462972224004285,7.675094718772007,0.3916761032355753,-14.402130254669926,11.458316667216213,-0.4660205826707093,-5.74644917916415,-5.814509125456021,-10.794348909467246,-4.403910876442796,0.6260990336999414,1.2521980674857744
cc_align,25,gov,10,gov,-1.8334435110971783,28.180473141893565,18.858282835572574,20.412546522049446,15.588180982984225,-10.788248085140262,-15.347051056312816,36.96711962385065,42.01116042053668,-16.553866300236997,1.2298373876248887,2.459674768729771
cc_align,25,gov,25,flores,42.660754481254315,-7.484339854404496,-21.293180613953787,-22.080397247562995,26.081898579782315,3.105555777111019,-20.288728627367984,-41.43653911749932,-37.805412164743615,-25.945060403381007,0.13416407864998692,0.2683281557265079
cc_align,25,gov,25,bible,4.592587827827706,-0.7612325756692352,14.165993251019154,-20.133362035560985,7.974021140714653,-0.897478028394276,-3.6047281075110487,-9.903406822584962,-9.135505975451988,-7.9776711881559095,0.693181073024935,1.3863621460541398
cc_align,25,gov,25,gov,12.361941995023372,26.972865348644053,26.562936961378107,23.415281869330567,-9.27221932401725,-0.8649834657781733,-13.499746157095625,34.67324997247631,32.84310297103904,24.55833253106864,1.5428869044748679,3.085773809184861
cc_align,25,gov,50,flores,25.030457513608706,-16.57428279827486,-21.005762344084108,-27.823492994608667,12.726191967418304,2.7490758736824317,-9.575437685274132,10.318195158192204,5.3020156928269095,7.978599469816477,8.126452598090919e-11,3.544345441755894
cc_align,25,gov,50,bible,3.1501102723692065,-3.827571079342003,-4.682848498222206,-5.517907231408387,2.793663243926004,-0.1440202168533837,2.760138439900323,0.4299443332958085,-0.12754352535840466,-0.5816631194817882,3.2532237077007297e-10,0.01275049546815682
cc_align,25,gov,50,gov,22.414043264520537,45.79757524081566,45.0324349313517,38.09532513039138,-0.526248946733539,-12.544956421347164,-24.220787311214533,8.799060541569872,3.102533197510602,0.6735615501828125,1.9029293814117004e-08,4.947619873833594
cc_align,25,bible,1,flores,12.158604417039182,-1.3005390842875801,-2.5103986682683646,1.1670077119564464,-5.0637038589650185,-1.1714342017927826,0.4758040363490672,-8.483920527968964,-3.558555243812388,-0.06781348478425597,0.357770876399967,0.7155417533480274
cc_align,25,bible,1,bible,2.512760204692218,11.23383334683051,12.591517391294845,9.797249986634856,5.082445693854727,-8.041000509453967,-13.950016466324035,34.92481665422937,25.220011820920675,13.300472811893098,0.04472135954999518,0.08944271183335578
cc_align,25,bible,1,gov,5.1203317326111755,-0.15113424825644028,-2.1033806473445265,-2.785875907372361,1.807761292399484,-0.7785739384203055,-2.3352290328684706,-3.0746562318366837,-4.003255376968412,-3.0353112226137533,0.17888543819998304,0.3577708741347206
cc_align,25,bible,10,flores,9.220633585155882,0.45848704951915303,-2.7428297444080063,-3.232279027546674,4.963426875720266,0.010823307344771367,-3.499627810984551,-15.336156021690176,-5.199518716918866,-6.146434332919512,0.33541019662496907,0.6708203944532982
cc_align,25,bible,10,bible,-9.90116337035069,12.85802226082134,14.271454310292786,19.168546158650816,28.165209173210876,-16.587664762939838,-18.320533225545105,50.477758094666484,34.501101176679626,33.436404310670625,0.6260990336999442,1.2521980574689848
cc_align,25,bible,10,gov,13.778837806262647,-1.0954540791859744,0.44903574083695863,-0.9873464128951248,-3.8214316802558925,-3.9930247647693324,1.0731286838810348,-11.952022445898146,-3.914643126388929,-1.5073712584583976,0.24596747752497655,0.4919349550520415
cc_align,25,bible,25,flores,8.231205278028437,-0.37843586510447214,6.9400711735740295,-12.918289099889899,4.383287123051015,-1.3343434110644985,-1.235437350262076,-10.45833249960444,-16.233917240115257,-6.561962797324305,0.42485291572496253,0.8497058344197727
cc_align,25,bible,25,bible,10.941604851404566,15.387424010256597,15.577244900397703,14.261106387809951,-8.937630603262372,1.5641635924810937,-16.433313014532228,44.38411858798762,46.38570991835766,33.50238593870714,0.6931810730249398,1.3863621495725236
cc_align,25,bible,25,gov,5.889037528759722,10.512107777553773,-7.58385944437023,-4.032814851355553,0.8801101422935218,3.0281305498919897,-5.215335159475874,-11.331147751545002,-12.08110141473674,5.507891501623423,0.290688837074976,0.581377672073052
cc_align,100,gov,1,flores,25.40654466057137,-2.7394560261603376,-10.532484124985963,-11.181111017937695,11.945106183767997,1.225941517697428,-14.676898711376992,-18.664777993047835,-17.04755582244079,-9.870088209617991,0.4248529157249616,0.8497058265812247
cc_align,100,gov,1,bible,4.580808240119236,2.566466555259721,1.1723099076084704,-7.534074209855432,3.590877944391806,0.06001569310266874,-2.843139387047669,-8.179219145599713,-7.673455261819472,-6.619897871798475,0.1788854381999831,0.3577708764505309
cc_align,100,gov,1,gov,13.700299663501958,14.773655660368313,13.944321535690342,11.414934752169492,1.5875243883665604,-8.984800460981528,-6.2791157126054795,12.751254497052624,13.845967839296412,7.585318867399678,0.06708203932499238,0.13416408112276015
cc_align,100,gov,10,flores,56.552330817869446,-6.141192845612507,-17.544046587590945,-16.00038936331444,3.9462842569807,-4.9491411237193805,-8.687423254624283,-48.21315905577603,-20.041011301451714,-8.805759993625704,0.40249223594997086,0.8049844723105413
cc_align,100,gov,10,bible,5.651361759327056,2.040164208209455,-2.1563122953491627,2.012944549971884,3.4974483032001804,0.34491780462915267,-4.299923296634013,-5.522614907679939,-6.467238549872494,-3.2441023070264037,0.6037383539249432,1.207476710925369
cc_align,100,gov,10,gov,24.8442642384861,26.107047513768915,23.420950233799175,20.472424565973316,-30.08640456988094,3.5968507530504876,-8.578454133717068,28.801471024255708,31.813914454644987,31.564292298119994,1.0956733089748978,2.1913466271445023
cc_align,100,gov,25,flores,26.201583807591057,-1.212911498984542,-23.212596260872562,-21.157397398987122,43.59131189918613,5.224334810219374,-27.86625378558577,-32.739115400215205,-53.06891648724288,3.749617844485332,0.4919349550499577,0.983869936094126
cc_align,100,gov,25,bible,11.24584698079283,-4.657191131945142,-8.828088850644985,17.98691013904752,8.467122714514218,-20.693628063995565,9.539029771187101,-3.871551867648932,-8.132156851807704,-6.583617269172889,0.7155417527999334,1.4310835056083684
cc_align,100,gov,25,gov,4.76788097181354,27.761338238143413,28.47927905126296,24.627973928224673,-1.1877849215199594,-7.71455517509965,-11.680649507207784,45.76983841961895,34.093676113563475,12.471866343440444,1.4981655449248625,2.99633107512088
cc_align,100,gov,50,flores,13.858215192019461,28.757055840946574,-38.77941718113377,-64.9447220770676,13.570348853081514,2.129790644514148,-7.607731016166373,7.0077292111763825,3.3336202668424724,0.7394069615454006,6.512151213773127e-09,3.2136879443263404
cc_align,100,gov,50,bible,2.5567380733407297,-0.15709720328109786,-4.230008058171725,-5.7031801468773216,1.934545449740781,1.2862748585030321,0.5983514093011336,1.6454245127939418,1.3869138062946604,-1.6724635998940696,4.1893110802116726e-11,0.24058314103422332
cc_align,100,gov,50,gov,20.439492323792393,47.202731213507214,47.21133261831007,39.41187110207272,2.0649344050445024,-13.198212246671044,-25.825952410711377,8.448042537343996,2.943826665711522,0.6066565398460442,8.307309840111815e-09,5.141384473062018
