train set 1,train set 1 size,train set 2,train set 2 size,test set,c0,c1,c2,rmse,loo rmse
cc_align,25,gov,1,flores,8.232508746793286,-2.3012245318782933,-1.0,2.300211179416755,2.9109813604966432
cc_align,25,gov,1,bible,-1.2262215968965453,5.248727109650491,-1.0,0.687989884501647,0.8723722319856496
cc_align,25,gov,1,gov,10.311427506499346,25.894892867974924,-1.0,2.4689601262145837,2.7501722822552797
cc_align,25,gov,10,flores,17.74639242890698,-8.810878437128835,-1.0,3.4170105274776152,4.352742582642322
cc_align,25,gov,10,bible,0.4362876100947136,4.85712699028227,-1.0,0.8850193340357405,0.9339770722608518
cc_align,25,gov,10,gov,26.548534603904482,18.26260115343784,-1.0,3.7409128103568943,3.8834543944108764
cc_align,25,gov,25,flores,20.857843875474302,-11.882258322096694,-1.0,3.5097227317235014,4.454643542210215
cc_align,25,gov,25,bible,-0.660653336476981,8.197772096122359,-1.0,0.9625933477170892,1.0278594183403
cc_align,25,gov,25,gov,28.49933326174104,21.758289141726145,-1.0,4.189855762827756,4.338376480596537
cc_align,25,gov,50,flores,39.899518786143794,-52.2009010895091,-1.0,1.7239173341574974,5.531247930092989
cc_align,25,gov,50,bible,4.06523277191285,-1.6438936581450463,-1.0,0.5822527405728236,1.868177581188694
cc_align,25,gov,50,gov,34.57358034749049,17.60061838448607,-1.0,5.355220571184737,17.182407872061475
cc_align,25,bible,1,flores,0.17235598449732437,3.277784865455545,-1.0,0.6608256003672448,0.7529201152173197
cc_align,25,bible,1,bible,18.438712358039275,-0.4692794066190134,-1.0,2.7123713668464973,2.725357004664246
cc_align,25,bible,1,gov,1.3908139556169798,-0.8385484691964722,-1.0,0.4918857064911124,0.577835784971672
cc_align,25,bible,10,flores,0.3816785765466455,5.274690012917821,-1.0,0.9062680790547253,1.0979842642159314
cc_align,25,bible,10,bible,30.66720497722855,-6.152010643200158,-1.0,3.5187633191668453,3.519791711148196
cc_align,25,bible,10,gov,-0.726018075644724,5.205377086859108,-1.0,0.8324996553120134,1.060988137122671
cc_align,25,bible,25,flores,-0.6581663985249465,8.02078384604303,-1.0,0.9306761939481837,1.0921624715005944
cc_align,25,bible,25,bible,35.311429171750966,-7.534288555675143,-1.0,3.504077344413941,3.5109452509789842
cc_align,25,bible,25,gov,-0.9980089138122551,6.518493718112304,-1.0,0.8755525694240063,1.1078539444509863
cc_align,100,gov,1,flores,11.348119858437844,-6.282707013159063,-1.0,2.1210003154124246,2.637775862308284
cc_align,100,gov,1,bible,-0.5666188875605123,4.391320541277539,-1.0,0.6792768068931887,0.8658782891818845
cc_align,100,gov,1,gov,15.392315855418698,18.469033780859053,-1.0,2.146340546421803,2.292322454089186
cc_align,100,gov,10,flores,18.234473386522883,-6.940038848841372,-1.0,3.2655216125978765,4.14435342486669
cc_align,100,gov,10,bible,-0.5551200487075014,8.1429931078568,-1.0,0.8276877441773769,0.8964124833055984
cc_align,100,gov,10,gov,26.123815673605048,20.4183688934082,-1.0,3.7788412322383023,3.890386028391423
cc_align,100,gov,25,flores,21.011156546672442,-9.293126603899388,-1.0,3.209061406051629,3.942202228130415
cc_align,100,gov,25,bible,-0.8658395506778781,9.710850426432625,-1.0,0.8244280691887914,0.8549140521402616
cc_align,100,gov,25,gov,28.69909050073683,22.273764957486247,-1.0,4.329892477846968,4.423107464686955
cc_align,100,gov,50,flores,42.24267472610924,-53.72576000125742,-1.0,2.043780180780587,6.557538298340446
cc_align,100,gov,50,bible,5.215501676561074,-2.1099211842757537,-1.0,0.39533000700901877,1.2684302452422214
cc_align,100,gov,50,gov,34.213861085111006,18.6597977741474,-1.0,5.552885576176731,17.816623340435367
cc_align,100,bible,1,flores,0.5123255292379153,2.977458889810964,-1.0,0.6589160754531205,0.7445164740957406
cc_align,100,bible,1,bible,21.197320272519892,-4.929236708574391,-1.0,2.6976311589723267,2.703512791856545
cc_align,100,bible,1,gov,1.2194280360032463,0.0012274178276502682,-1.0,0.5599999955902152,0.6639361357629733
cc_align,100,bible,10,flores,-0.3393958798776695,7.937595667060434,-1.0,0.8892878550931439,1.0476453177091438
cc_align,100,bible,10,bible,30.602430338382597,-5.068938609060992,-1.0,3.628713406492825,3.6295044871911823
cc_align,100,bible,10,gov,-1.2807698870259114,7.382675534488478,-1.0,0.8121610192196095,1.0074876469051675
cc_align,100,bible,25,flores,-1.5292865627906411,11.17728717174956,-1.0,1.0087678806721565,1.2012809227835453
cc_align,100,bible,25,bible,37.05020352354015,-10.449735138349478,-1.0,3.511046679348346,3.5188147763500273
cc_align,100,bible,25,gov,-2.6194494059530093,10.812876924565495,-1.0,0.8396147359796663,1.0284320044378297
gov,25,bible,1,flores,0.9684008689320339,2.213447894884138,-1.0,0.8953887344765099,1.0694606853563022
gov,25,bible,1,bible,22.696508633768563,-8.832575354890032,-1.0,2.2517184618750354,2.2981765014858357
gov,25,bible,1,gov,1.1214518304886611,2.1425300913180747,-1.0,0.874203763083333,1.0575427747926962
gov,25,bible,10,flores,1.0212364071007152,5.018157258851423,-1.0,1.3118931705661534,1.6697072584098833
gov,25,bible,10,bible,33.75329774285818,-12.344543599840996,-1.0,3.5709936486437215,3.5724419481422016
gov,25,bible,10,gov,-7.267985939730443,26.966454930583737,-1.0,1.2951047872407393,1.8179996181115012
gov,25,bible,25,flores,-0.646584296716378,9.197494782204343,-1.0,1.4912834363072933,1.8822148166900174
gov,25,bible,25,bible,38.19900966550015,-13.558356739565422,-1.0,3.281789601050012,3.2864597676014458
gov,25,bible,25,gov,-9.29737188766467,32.43653304345723,-1.0,1.469829561061694,1.945127654678898
gov,1,bible,1,flores,-0.40942995001665733,4.354437560901983,-1.0,0.8957531400010597,1.057787381278244
gov,1,bible,1,bible,17.020133773768144,-0.38650455301110614,-1.0,2.8032059772978095,2.8346050475852804
gov,1,bible,1,gov,-3.3687392951573107,13.1501071083112,-1.0,1.0308252727395002,1.3051069341894226
gov,1,bible,10,flores,-0.9147758600453592,8.614289631030504,-1.0,1.214824814355822,1.5893067551028697
gov,1,bible,10,bible,30.662103836359012,-7.5571956554896165,-1.0,3.803142825246332,3.8094147365542117
gov,1,bible,10,gov,-12.169430196138196,39.714693968072424,-1.0,1.7762266720006954,2.194797414147754
gov,1,bible,25,flores,-1.3125409633173621,10.154360425111339,-1.0,1.321048264755115,1.6830145093161772
gov,1,bible,25,bible,33.931025610922205,-5.430684974171891,-1.0,3.664708640198842,3.66571546591545
gov,1,bible,25,gov,-12.730777106769692,42.034882851599356,-1.0,1.981485758870191,2.2853871073742216
gov,10,bible,1,flores,1.1948362165571778,1.5559447081062932,-1.0,0.8958504374647797,1.0986355604044857
gov,10,bible,1,bible,22.425590832223993,-9.109537676835686,-1.0,2.1118260637007924,2.1738045667981942
gov,10,bible,1,gov,0.3762834817208708,3.955962988206673,-1.0,0.9380898244629441,1.1591827011194809
gov,10,bible,10,flores,0.5394826347874625,5.880183129858886,-1.0,1.2201785741991995,1.5465966107527815
gov,10,bible,10,bible,32.989277572298505,-11.520572821580062,-1.0,3.4238675432757826,3.431123279022779
gov,10,bible,10,gov,-8.125686829279646,29.707948811193837,-1.0,1.4346603911738756,1.9240709881745313
gov,10,bible,25,flores,-0.8167743082734108,9.605575180848597,-1.0,1.3481739513468174,1.7052821745932887
gov,10,bible,25,bible,36.5084360014185,-10.317204938886427,-1.0,3.477044736071619,3.488493547116732
gov,10,bible,25,gov,-9.781021282662351,34.16088041330046,-1.0,1.3633190336335395,1.7065028985197124
gov,50,bible,1,flores,6.280924004013855,-9.482829707928524,-1.0,0.5425027241866789,1.7406383637284706
gov,50,bible,1,bible,29.33745606782077,-19.98737581622829,-1.0,2.1176558937098457,6.79457183344985
gov,50,bible,1,gov,5.300088360769933,-7.375771658250895,-1.0,0.45629329399654306,1.4640320982200579
gov,50,bible,10,flores,7.355897831410056,-9.715499210453174,-1.0,0.4490413578502883,1.4407648976245961
gov,50,bible,10,bible,37.7196069506576,-16.58347522351182,-1.0,3.2354306911286077,10.380989529837237
gov,50,bible,10,gov,1.2289832659408622,9.246723958207047,-1.0,0.3268435140425723,1.04868859685564
gov,50,bible,25,flores,6.152080657787985,-6.556565043290173,-1.0,0.4742875009751708,1.5217674196749187
gov,50,bible,25,bible,41.930292843875826,-16.821249752364576,-1.0,3.0197714812471554,9.689039614975545
gov,50,bible,25,gov,0.7201422495217404,11.700374632513721,-1.0,0.036259682732201655,0.11634060481915788
bible,25,gov,1,flores,7.419075756666306,-2.9160964749518654,-1.0,1.9332930027215318,2.5208987354284975
bible,25,gov,1,bible,0.3127813326788154,6.452430115118849,-1.0,1.681745330700288,2.0328331969633737
bible,25,gov,1,gov,11.558247820166372,21.889353561624382,-1.0,1.5252543190167471,1.828366171687462
bible,25,gov,10,flores,18.65247217125839,-13.329771165157997,-1.0,3.375891817503994,4.358688568485038
bible,25,gov,10,bible,3.922607238180247,11.36633262135341,-1.0,2.3093673447151697,2.6199268451945876
bible,25,gov,10,gov,26.957979593351077,16.86912049510363,-1.0,3.736888497783176,3.839233603365105
bible,25,gov,25,flores,20.876307552868024,-13.810040073906132,-1.0,3.4477177240966124,4.358185735865316
bible,25,gov,25,bible,1.9248675929819465,17.970086907242806,-1.0,2.627271928872416,2.858029970784695
bible,25,gov,25,gov,28.799322153753188,20.728398173247516,-1.0,4.464819944672208,4.538794017711021
bible,25,gov,50,flores,40.72465883121578,-56.76618185884359,-1.0,1.7561441450576138,5.634648392889591
bible,25,gov,50,bible,18.201005232038572,-14.037247722801585,-1.0,0.3526321963055602,1.131432791151056
bible,25,gov,50,gov,31.327469775101076,23.571490606184405,-1.0,5.444920334766942,17.470212776376115
