train set 1,train set 1 size,train set 2,train set 2 size,test set,c0,c1,c2,rmse,kfold rmse
cc_align,25,gov,1,flores,27.97987888434018,-36.879685518317125,-0.5,2.006471202027453,2.1239039530225856
cc_align,25,gov,1,bible,5.398144261292014,-7.401034710736187,-0.5,0.7085421770518093,0.7143351884141405
cc_align,25,gov,1,gov,-11.140786304166326,59.37767774879276,-0.5,2.1749288820859234,2.2309180521790855
cc_align,25,gov,10,flores,54.47209431614037,-72.32870107557152,-0.5,2.6414547409788685,2.841222244370092
cc_align,25,gov,10,bible,11.163842758906846,-14.992586952558728,-0.5,0.8002571060242283,0.8053761091870587
cc_align,25,gov,10,gov,-24.410714932593994,105.34457374712888,-0.5,2.1257139808394228,2.344566720403191
cc_align,25,gov,25,flores,59.77989075509378,-78.7548638750119,-0.5,2.6250791904036714,2.84411634799526
cc_align,25,gov,25,bible,11.089175768600379,-14.045495502726034,-0.5,0.9678137717031168,0.9770258817251478
cc_align,25,gov,25,gov,-30.47688260856274,122.4314960933043,-0.5,2.195938360991905,2.451719448912997
cc_align,25,gov,50,flores,63.618403311690116,-83.81830109341729,-0.5,1.073419515903743,1.3715874440370828
cc_align,25,gov,50,bible,11.192282872901176,-13.776337793289397,-0.5,0.29849829233882386,0.3814133272724615
cc_align,25,gov,50,gov,-31.116458670671136,128.966346152844,-0.5,2.642672510957091,3.37673796157392
cc_align,25,bible,1,flores,6.908763439422665,-9.226641331275218,-0.5,0.6227813962060385,0.6235735789574647
cc_align,25,bible,1,bible,-9.102670938835013,48.3985292174099,-0.5,2.269868924514527,2.338969379200504
cc_align,25,bible,1,gov,6.42635507996313,-9.612076174916993,-0.5,0.3962655267825239,0.40900735123345855
cc_align,25,bible,10,flores,10.34868054369741,-13.300642984745474,-0.5,0.8578187600550671,0.8619833639081032
cc_align,25,bible,10,bible,-13.454213939661683,73.07643104422554,-0.5,2.7321150395675096,2.827947459354087
cc_align,25,bible,10,gov,5.48978504561109,-6.713106817110015,-0.5,0.8541552673919511,0.8694676251218159
cc_align,25,bible,25,flores,10.426167476791285,-13.012772362992019,-0.5,0.9456137764356457,0.945647900908477
cc_align,25,bible,25,bible,-9.700198828553402,73.51216049871985,-0.5,2.712270663360069,2.8004396408190013
cc_align,25,bible,25,gov,6.20142810916292,-7.371424044043849,-0.5,0.9161045868906339,0.9259896836416296
cc_align,100,gov,1,flores,32.23658605303459,-42.187959920244765,-0.5,1.7140371045043608,1.8284901468824695
cc_align,100,gov,1,bible,5.876070751312198,-7.787063119260714,-0.5,0.6786074210352291,0.6873794249923006
cc_align,100,gov,1,gov,-6.961422325710099,54.84409951559833,-0.5,1.663823408295736,1.7181993116510286
cc_align,100,gov,10,flores,52.29271093844656,-66.05914816700502,-0.5,2.587585112360718,2.7653556071309855
cc_align,100,gov,10,bible,6.582803577009571,-5.921337151322319,-0.5,0.9194604269620412,0.9222881063325432
cc_align,100,gov,10,gov,-25.448361276126807,108.21002011965793,-0.5,2.11451586021526,2.29667774607507
cc_align,100,gov,25,flores,58.89337257844662,-74.7754545265607,-0.5,2.29904424514143,2.4412443279888025
cc_align,100,gov,25,bible,7.226461039398813,-6.3175182190508155,-0.5,0.9575091401617263,0.9739066310591569
cc_align,100,gov,25,gov,-33.22320941231414,128.07565271769425,-0.5,2.1797745021794515,2.4009082244260376
cc_align,100,gov,50,flores,69.91157510575556,-91.95225931365653,-0.5,0.935123399775267,1.194876283963134
cc_align,100,gov,50,bible,10.10957514884631,-10.257246595117456,-0.5,0.16157412746964184,0.20645520307443074
cc_align,100,gov,50,gov,-33.92294633966128,134.09793420727962,-0.5,2.7234595763881924,3.479965559006874
cc_align,100,bible,1,flores,7.878706384991084,-10.590494409497177,-0.5,0.5953226462206987,0.595653579321528
cc_align,100,bible,1,bible,-8.533050555192604,48.59405183607495,-0.5,2.2638251115465393,2.35034489173319
cc_align,100,bible,1,gov,7.296357715591184,-10.76347079969312,-0.5,0.452255989960547,0.46293390848389676
cc_align,100,bible,10,flores,9.875769870655564,-11.541832099219045,-0.5,0.9214022769534637,0.9214067325474444
cc_align,100,bible,10,bible,-15.896894154823482,78.18272092528532,-0.5,2.7363688518937224,2.8376396524047025
