train set 1,train set 1 size,train set 2,train set 2 size,test set,c0,"c1,1","c1,2","c2,1","c2,2",rmse,kfold rmse
cc_align,25,gov,1,flores,304.91942452789345,-999.9999999999702,806.5269017143775,-35.230204730334265,45.06081897215797,1.5002494659351098,10.324884700720823
cc_align,25,gov,1,bible,219.06472508169523,-999.9999999999663,961.266068736348,109.96501822514034,-72.91104797513314,0.5418553219521246,4.462144106721346
cc_align,25,gov,1,gov,330.4017065600478,-999.9999999999999,956.2870156776502,-185.92664378388528,167.58184346725233,1.8582274006228392,9.518564828110433
cc_align,25,gov,10,flores,274.82079432459193,-999.9999999999998,653.6903473459197,164.97329302891512,-91.6683454183698,1.5100927177303765,11.977728741823586
cc_align,25,gov,10,bible,230.91061687022972,-998.858673266875,999.9999999999994,62.66138093684128,-46.79729382538207,0.7671982547462872,6.26964973396219
cc_align,25,gov,10,gov,427.4994017984162,-999.9999821153991,965.6098855988013,-461.68800449825306,383.90251054098127,0.7976950308434844,5.681226931306951
cc_align,25,gov,25,flores,271.4286593009524,-999.9999999718368,635.8476424932682,191.82518694279102,-110.98348086867163,1.3290297975958925,10.53060185825306
cc_align,25,gov,25,bible,213.63982711764973,-999.9999999999759,997.4348982862994,117.11554162339037,-85.69317673909508,0.8970395630404148,7.285033823650697
cc_align,25,gov,25,gov,430.923753688767,-999.9999999973978,959.4022283259369,-466.4800070807253,394.33545440079,0.7095681493994366,5.550159837705977
cc_align,25,gov,50,flores,86.61068734814901,-129.0716195240575,-134.86843816680798,64.5189367128067,-41.45295116863898,2.492672132590169e-09,2.033836660895209
cc_align,25,gov,50,bible,-2.482716829981123,18.34592624532783,14.976324688150816,-6.7755928037899436,-4.305370122858555,7.345303549105606e-14,0.08372462057292361
cc_align,25,gov,50,gov,108.53587489699582,-115.1901800846361,-126.92265391905055,-49.9824569281545,114.494405456165,7.400141888586256e-09,2.5612308117023104
cc_align,25,bible,1,flores,240.18446232443637,-999.9999999996171,988.1746951935679,36.78033606252934,-23.979330072387032,0.577970539803778,4.753349676465814
cc_align,25,bible,1,bible,459.1122647405763,-946.361357444871,999.9999999999819,-659.2254519537202,495.1166574810387,0.8986599759182919,4.157972125344561
cc_align,25,bible,1,gov,253.8353872606874,-999.9999945493374,986.6092790348544,-4.559711056544972,6.301697736487965,0.32357760196896107,2.720001810556731
cc_align,25,bible,10,flores,219.60215277436174,-999.999999999998,952.0110830665514,120.57082496765018,-81.40619993607504,0.6916433264874611,5.660664997938099
cc_align,25,bible,10,bible,518.9045691141137,-905.2643512881212,999.9999999999999,-869.4147274064055,651.2554955954151,0.2825224562601322,1.5159104347031478
cc_align,25,bible,10,gov,237.24134826158004,-999.9999999999989,951.6559330463556,62.183007816426574,-36.37566225848182,0.7116422439271414,5.82138554045156
