train set 1,train set 1 size,train set 2,train set 2 size,test set,c0,"c1,1","c1,2","c1,3",rmse,kfold rmse
cc_align,25,gov,1,flores,281.8859034567755,-1131.9255210495573,1558.1979978789786,-718.361289060492,2.0880561986988178,4.437457285878843
cc_align,25,gov,1,bible,236.175720467743,-1074.2240600602229,1629.9035611669635,-820.3140976577063,0.6762794555539,1.4372032705788702
cc_align,25,gov,1,gov,2221.2479910335323,-9679.154208136644,14075.212527911151,-6762.224151433073,1.6049730739701764,3.4108274809809256
cc_align,25,gov,10,flores,-1154.1029721701334,5211.134857414883,-7663.376483515134,3714.309634239612,2.838837889072282,6.032989861696049
cc_align,25,gov,10,bible,950.2311692729088,-4209.819652413039,6208.799127607739,-3039.4320883564246,0.635521047474258,1.3505850584081973
cc_align,25,gov,10,gov,862.4174447737857,-3493.920880185756,4801.170832381413,-2141.1228782449402,0.8291234857869764,1.7620215661973386
cc_align,25,gov,25,flores,-1587.3218960625927,7132.946379420433,-10473.622617074163,5074.252087669224,2.8012914208104513,5.953197541216699
cc_align,25,gov,25,bible,1084.9196938704856,-4832.394337856494,7163.0332080461585,-3522.7239672305295,0.7442470544809645,1.5816454159754438
cc_align,25,gov,25,gov,675.3235931704098,-2659.3130495573846,3578.209386211748,-1541.289066174068,0.8005852163224422,1.7013731260508629
cc_align,25,gov,50,flores,143.08543393536058,-238.08293914719724,-80.08425920322928,221.35091912786982,6.348692730115256e-07,2.04442834505426
cc_align,25,gov,50,bible,-8.309876866564231,27.87879781009285,5.827606499718413,-30.51531052032495,5.061078756042882e-07,0.23785219751404982
cc_align,25,gov,50,gov,139.99145268695517,-234.93654241170495,-55.23167293669946,267.5407544174989,1.4339752433821154e-07,2.1698224106265815
cc_align,25,bible,1,flores,560.0104912960454,-2473.591293255771,3637.759582475097,-1775.735937961548,0.5701008489923018,1.2115565511830115
cc_align,25,bible,1,bible,1880.1866569938834,-7954.841231258401,11213.865979962246,-5216.02019027958,0.46399608024203126,0.9860667490530012
cc_align,25,bible,1,gov,188.05681416868867,-806.4898449767813,1157.5551638572413,-553.3460188970707,0.4029323057984083,0.856296347533491
cc_align,25,bible,10,flores,369.143180066234,-1656.0817311509784,2488.1385286739833,-1241.729184389043,0.8242501979007548,1.751665040877678
cc_align,25,bible,10,bible,1438.133783001,-5871.744565407437,8018.071381886855,-3586.8595977058585,0.16307055109474733,0.34655130715590077
cc_align,25,bible,10,gov,412.66877372532497,-1829.4282841876436,2701.912306777973,-1323.8630572619538,0.8397191950882524,1.7845391629885279
cc_align,25,bible,25,flores,517.6311707814815,-2341.5443407867265,3536.6306170966177,-1772.1864304492738,0.8222565800274647,1.747428280538854
cc_align,25,bible,25,bible,1288.088504709376,-5190.919608628199,7020.863358977765,-3102.778664114589,0.34766479051613103,0.7388439348900442
cc_align,25,bible,25,gov,470.7761240159837,-2098.9273805769967,3117.9440119834917,-1536.3082723737998,0.885424728753124,1.8816708177376318
cc_align,100,gov,1,flores,63.4640105736384,-151.43445938928258,112.25581991795184,-13.745397091567163,1.8191393105325344,3.8659653867903523
cc_align,100,gov,1,bible,188.3251848694888,-854.1121446996168,1296.7556886394902,-653.5215487495456,0.6629517514226944,1.4088797428791717
cc_align,100,gov,1,gov,1732.4443792493641,-7484.968468472972,10826.269436767763,-5170.089277772393,1.0524455965724653,2.2366171871991276
cc_align,100,gov,10,flores,-608.1299678633022,2820.0211301366066,-4188.238488580599,2042.2611091525491,2.79582743125074,5.941585679001567
cc_align,100,gov,10,bible,1173.125190405862,-5195.14527907452,7649.38097472094,-3734.3972037043354,0.7062944788283572,1.5009900518611736
