,models,Normality p-value,AIC of centered model,BIC of centered model,R2 coefficient,Homocedasticity Levene p-value,Homocedasticity bartlett p-value
0,linear,,16.200090478645617,16.397315055981835,0.9760485623607476,0.0,
1,poly2,,-186.7289754113463,-186.5317508340101,1.0,0.0,
2,poly3,,-100.37277985510124,-100.17555527776503,1.0,0.0,
3,exp,,13.386446807868738,13.583671385204958,0.9906240572654368,0.0,
4,log,,6.801496887405915,6.998721464742134,0.9989558910749748,0.0,
5,power,,16.62137642735297,16.81860100468919,0.9724374767066851,0.0,
6,mult,,16.62137642735297,16.81860100468919,0.9724374767066851,0.0,
7,hybrid_mult,,17.449005747104977,17.6462303244412,0.9636812753725715,0.0,
8,am,,16.200090478645617,16.397315055981835,0.9760485623607476,0.0,
9,gm,,16.200090478645617,16.397315055981835,0.9760485623607476,0.0,
10,hm,,16.200090478645617,16.397315055981835,0.9760485623607476,0.0,
