,models,Normality p-value,AIC of centered model,BIC of centered model,R2 coefficient,Homocedasticity Levene p-value,Homocedasticity bartlett p-value
0,linear,,11.857831334201103,13.076707159069304,0.9699092626517056,0.49502543092927775,3.7789177638511217e-06
1,poly2,,11.857831334201089,13.07670715906929,0.9699092626517057,0.49502538021172254,1.778939484137129e-06
2,poly3,,11.857831334201112,13.076707159069313,0.9699092626517056,0.4950253224378342,1.0242265940292305e-06
3,exp,,8.450807101917153,9.669682926785354,0.9847769222624864,0.7046489421615887,0.4346235478526247
4,log,,11.857831334201098,13.076707159069299,0.9699092626517057,0.49502534605971676,1.126912086185798e-10
5,power,,25.733238981390762,26.95211480625896,0.5173465387851208,0.6447994150712273,0.7805480033823007
6,mult,,8.45080710191479,9.669682926782992,0.9847769222624936,0.7046492865152116,0.434622475270243
7,hybrid_mult,,17.49093978066243,18.70981560553063,0.9071635739936197,0.13892616125204812,0.3912673262245939
8,am,,29.231113423076714,30.449989247944913,0.028468382929747515,0.03901643831372024,0.2574840304161825
9,gm,,28.418237857449757,29.637113682317956,0.17424452073194852,0.15356593890782708,0.44054009399551264
10,hm,,27.653825890455884,28.872701715324084,0.2913113387275489,0.573536998477621,0.7403240184780588
