,models,Normality p-value,AIC of centered model,BIC of centered model,R2 coefficient,Homocedasticity Levene p-value,Homocedasticity bartlett p-value
0,linear,,-195.6869810843811,-194.4681052595129,1.0,0.8434017341704168,0.9481139345891578
1,poly2,,-200.3601511632595,-199.1412753383913,1.0,0.692270045675266,0.42388744834644276
2,poly3,,-210.52834371478372,-209.3094678899155,1.0,0.7875251438990889,0.5877924589548256
3,exp,,-202.1243463778873,-200.9054705530191,1.0,0.014006756841580904,0.11357442678525184
4,log,,-209.87773208929272,-208.65885626442451,1.0,0.5443101361125134,0.5243583147481483
5,power,,-13.910895988510797,-12.692020163642596,0.9834048299476144,0.610778306706936,0.7496352247539115
6,mult,,-212.89557913317026,-211.67670330830205,1.0,0.0014163979257955856,0.05187714139480789
7,hybrid_mult,,-208.091652019163,-206.8727761942948,1.0,0.1497891048699942,0.3740747443978135
8,am,,5.52631520237109,6.74519102723929,0.19038896348288792,0.37804294497955737,0.5601326985302266
9,gm,,5.640995059629152,6.859870884497353,0.1716051589011688,0.5021361484215295,0.6575019935411994
10,hm,,5.418941916281946,6.637817741150146,0.2075897316499944,0.6914221252213786,0.8196950874585519
