,models,Normality p-value,AIC of centered model,BIC of centered model,R2 coefficient,Homocedasticity Levene p-value,Homocedasticity bartlett p-value
0,linear,,-105.19464145940508,-104.99741688206886,1.0,0.0,
1,poly2,,-101.1148317721385,-100.91760719480229,1.0,0.0,
2,poly3,,-105.46982745024111,-105.2726028729049,1.0,0.0,
3,exp,,-86.16249892333738,-85.96527434600117,0.9999999999999997,0.0,
4,log,,-98.23650104245515,-98.03927646511893,1.0,0.0,
5,power,,14.570078318526967,14.767302895863187,0.8642758919829261,0.0,
6,mult,,-73.02888976831572,-72.8316651909795,0.9999999999999717,0.0,
7,hybrid_mult,,-85.93802628285763,-85.74080170552142,0.9999999999999997,0.0,
8,am,,19.11412182142172,19.311346398757937,0.38273071237107414,0.0,
9,gm,,19.494360021157696,19.691584598493915,0.29931989496120404,0.0,
10,hm,,19.77578825015994,19.97301282749616,0.23040773266402959,0.0,
