,models,Normality p-value,AIC of centered model,BIC of centered model,R2 coefficient,Homocedasticity Levene p-value,Homocedasticity bartlett p-value
0,linear,,17.67259440116299,18.891470226031192,0.3313452617627568,0.9232953433258924,0.8291939618985176
1,poly2,,17.67259440116299,18.89147022603119,0.3313452617627567,0.9232953487915212,0.8291939682368143
2,poly3,,17.67259440116299,18.891470226031192,0.3313452617627567,0.9232953433836023,0.8291939619654418
3,exp,,17.707716158832266,18.926591983700465,0.32663186091487484,0.9905385972875305,0.9027544207906542
4,log,,17.67259440116299,18.89147022603119,0.3313452617627567,0.923295343369889,0.8291939619495379
5,power,,17.67259440116299,18.89147022603119,0.3313452617627568,0.9232953433258525,0.8291939618984702
6,mult,,17.67259440116299,18.89147022603119,0.3313452617627568,0.9232953433258525,0.8291939618984702
7,hybrid_mult,,17.67259440116299,18.89147022603119,0.3313452617627568,0.9232953433258829,0.8291939618985065
8,am,,17.67259440116299,18.891470226031192,0.3313452617627568,0.9232953433258924,0.8291939618985176
9,gm,,17.67259440116299,18.891470226031192,0.3313452617627568,0.9232953433258924,0.8291939618985176
10,hm,,17.67259440116299,18.891470226031192,0.3313452617627568,0.9232953433258924,0.8291939618985176
