,models,Normality p-value,AIC of centered model,BIC of centered model,R2 coefficient,Homocedasticity Levene p-value,Homocedasticity bartlett p-value
0,linear,,20.4350238170973,20.632248394433518,0.04127330888663516,0.0,
1,poly2,,20.4350238170973,20.632248394433518,0.04127330888663516,0.0,
2,poly3,,20.435023823766613,20.63224840110283,0.041273306755285066,0.0,
3,exp,,20.435023817097296,20.632248394433514,0.04127330888663516,0.0,
4,log,,20.435023817097296,20.632248394433514,0.04127330888663516,0.0,
5,power,,20.4350238170973,20.632248394433518,0.04127330888663516,0.0,
6,mult,,20.4350238170973,20.632248394433518,0.04127330888663516,0.0,
7,hybrid_mult,,20.435023817097296,20.632248394433514,0.04127330888663516,0.0,
8,am,,20.4350238170973,20.632248394433518,0.04127330888663516,0.0,
9,gm,,20.4350238170973,20.632248394433518,0.04127330888663516,0.0,
10,hm,,20.4350238170973,20.632248394433518,0.04127330888663516,0.0,
