,models,Normality p-value,AIC of centered model,BIC of centered model,R2 coefficient,Homocedasticity Levene p-value,Homocedasticity bartlett p-value
0,linear,,9.699079792432759,9.896304369768979,0.0,0.0,
1,poly2,,9.699079792432759,9.896304369768979,0.0,0.0,
2,poly3,,9.699079792579623,9.896304369915843,-4.895506222624135e-11,0.0,
3,exp,,9.699079792432759,9.896304369768979,0.0,0.0,
4,log,,9.699079792432759,9.896304369768979,0.0,0.0,
5,power,,9.699079792432759,9.896304369768979,0.0,0.0,
6,mult,,9.699079792432759,9.896304369768979,0.0,0.0,
7,hybrid_mult,,9.699079792432759,9.896304369768979,0.0,0.0,
8,am,,9.699079792432759,9.896304369768979,0.0,0.0,
9,gm,,9.699079792432759,9.896304369768979,0.0,0.0,
10,hm,,9.699079792432759,9.896304369768979,0.0,0.0,
