,models,Normality p-value,AIC of centered model,BIC of centered model,R2 coefficient,Homocedasticity Levene p-value,Homocedasticity bartlett p-value
0,linear,,-104.66320536009117,-104.46598078275495,1.0,0.0,
1,poly2,,-97.03352915036102,-96.8363045730248,1.0,0.0,
2,poly3,,-103.69800751448852,-103.50078293715231,1.0,0.0,
3,exp,,-91.25352065277586,-91.05629607543965,0.9999999999999999,0.0,
4,log,,-108.41174014924901,-108.2145155719128,1.0,0.0,
5,power,,15.089161469485216,15.286386046821436,0.8386377359220902,0.0,
6,mult,,-115.40291296732002,-115.2056883899838,1.0,0.0,
7,hybrid_mult,,-99.72676347420139,-99.52953889686518,1.0,0.0,
8,am,,19.342733536976667,19.539958114312885,0.33385372363930355,0.0,
9,gm,,19.750994681947276,19.948219259283494,0.23674183523591796,0.0,
10,hm,,20.012889928492086,20.210114505828304,0.16711569377311442,0.0,
