,models,Normality p-value,AIC of centered model,BIC of centered model,R2 coefficient,Homocedasticity Levene p-value,Homocedasticity bartlett p-value
0,linear,,-194.30616134427106,-194.10893676693485,1.0,0.0,
1,poly2,,-126.05652752567758,-125.85930294834137,1.0,0.0,
2,poly3,,-120.61179993596797,-120.41457535863175,1.0,0.0,
3,exp,,3.785274922204214,3.9824994995404337,0.8607199034168046,0.0,
4,log,,-186.8958866522625,-186.6986620749263,1.0,0.0,
5,power,,-4.986090417493925,-4.788865840157705,0.9925165153759362,0.0,
6,mult,,-151.45443907313796,-151.25721449580175,1.0,0.0,
7,hybrid_mult,,-196.96807092927378,-196.77084635193756,1.0,0.0,
8,am,,7.0772895476684665,7.274514125004686,0.5826917332900263,0.0,
9,gm,,6.997122622567844,7.194347199904064,0.5936954957196281,0.0,
10,hm,,6.921095096288814,7.118319673625033,0.6038628933411796,0.0,
