,models,Normality p-value,AIC of centered model,BIC of centered model,R2 coefficient,Homocedasticity Levene p-value,Homocedasticity bartlett p-value
0,linear,0,16.550997949925392,16.74822252726161,0.8238871161793168,0.0,
1,poly2,0,-178.47542097061643,-178.2781963932802,1.0,0.0,
2,poly3,0,-134.5096322037575,-134.31240762642128,1.0,0.0,
3,exp,0,17.216723944725622,17.41394852206184,0.7801305766938896,0.0,
4,log,0,3.285674731904182,3.482899309240401,0.9978843739598364,0.0,
5,power,0,8.280603410875852,8.47782798821207,0.9888177578791726,0.0,
6,mult,0,8.280603410875852,8.47782798821207,0.9888177578791726,0.0,
7,hybrid_mult,0,15.816541271494488,16.013765848830708,0.8621306797264556,0.0,
8,am,0,16.550997949925392,16.74822252726161,0.8238871161793168,0.0,
9,gm,0,16.550997949925392,16.74822252726161,0.8238871161793169,0.0,
10,hm,0,16.550997949925392,16.74822252726161,0.8238871161793168,0.0,
