,models,Normality p-value,AIC of centered model,BIC of centered model,R2 coefficient,Homocedasticity Levene p-value,Homocedasticity bartlett p-value
0,linear,0,19.954209509389862,20.15143408672608,0.7565341530709547,0.0,
1,poly2,0,-179.93194441796152,-179.7347198406253,1.0,0.0,
2,poly3,0,-86.24035068924293,-86.04312611190672,0.9999999999999999,0.0,
3,exp,0,20.815762010644438,21.012986587980656,0.6755404611320428,0.0,
4,log,0,11.886569758431342,12.083794335767562,0.9834603021209812,0.0,
5,power,0,15.71856155136545,15.91578612870167,0.9406712494338207,0.0,
6,mult,0,15.71856155136545,15.91578612870167,0.9406712494338207,0.0,
7,hybrid_mult,0,19.769782430217,19.967007007553217,0.7710506086612989,0.0,
8,am,0,19.954209509389862,20.15143408672608,0.7565341530709547,0.0,
9,gm,0,19.954209509389862,20.15143408672608,0.7565341530709547,0.0,
10,hm,0,19.954209509389862,20.15143408672608,0.7565341530709547,0.0,
