,models,Normality p-value,AIC of centered model,BIC of centered model,R2 coefficient,Homocedasticity Levene p-value,Homocedasticity bartlett p-value
0,linear,,1.210723964276788,2.4295997891449885,0.9946567495939129,0.4950252950995671,2.2428699429637435e-11
1,poly2,,1.2107239642767746,2.429599789144975,0.9946567495939129,0.49502536315283635,1.607596682395689e-06
2,poly3,,1.2107239642767416,2.429599789144942,0.994656749593913,0.49502537524627926,3.4845085560315443e-06
3,exp,,8.818448607237212,10.037324432105413,0.9755316832527028,0.3031112031074887,0.17212450506543298
4,log,,1.210723964276772,2.4295997891449725,0.9946567495939129,0.4950253451806545,1.0178405686776698e-07
5,power,,21.46918691612441,22.68806274099261,0.69279147595118,0.5740364061317419,0.46632668463035976
6,mult,,8.818448607237938,10.03732443210614,0.9755316832526993,0.3031116222228143,0.1721258783167792
7,hybrid_mult,,18.53559219945407,19.754468024322268,0.8291462708935871,0.72245392781857,0.8375136199767843
8,am,,27.274132342636577,28.493008167504776,0.019055548356293306,0.8545189675145306,0.9541343046610933
9,gm,,27.322084499320606,28.540960324188806,0.009602611530597271,0.9048556950039061,0.8134560523536739
10,hm,,27.135269983887568,28.354145808755767,0.045923972188225415,0.6713670709116081,0.6625487971558499
