,models,Normality p-value,AIC of centered model,BIC of centered model,R2 coefficient,Homocedasticity Levene p-value,Homocedasticity bartlett p-value
0,linear,,-5.720747841322655,-4.501872016454454,0.9991748957068174,0.4950252794896142,2.7783775269765177e-08
1,poly2,,-5.720747841322608,-4.501872016454408,0.9991748957068173,0.49502547255793466,5.089163433308797e-06
2,poly3,,-5.720747841322678,-4.501872016454477,0.9991748957068174,0.4950253688548276,2.004899803419679e-06
3,exp,,16.88078025898271,18.09965608385091,0.924202892264032,0.8555054133234807,0.6792612353496618
4,log,,-5.720747841322602,-4.501872016454401,0.9991748957068173,0.49502520889673,2.6570754986142312e-06
5,power,,-5.720747841322681,-4.501872016454481,0.9991748957068174,0.4950253465213485,3.052824234812608e-07
6,mult,,-4.512294697885719,-3.2934188730175182,0.9989493120458739,0.33654608824070986,0.26772322347311694
7,hybrid_mult,,-8.749191212902433,-7.530315388034232,0.9995497418342136,0.4289407173277245,0.3610252931231409
8,am,,19.396774712870283,20.61565053773848,0.8746312961871654,0.5463215758439366,0.48926177477372623
9,gm,,3.535925115236171,4.754800940104372,0.9947454776455757,0.6061683377684415,0.3402882553657998
10,hm,,14.93970847631388,16.15858430118208,0.948589327922877,0.2705962950963926,0.4205396544671971
