,models,Normality p-value,AIC of centered model,BIC of centered model,R2 coefficient,Homocedasticity Levene p-value,Homocedasticity bartlett p-value
0,linear,,-177.27241782158762,-176.05354199671942,1.0,0.3377136816011547,0.2634556597918009
1,poly2,,-189.29412193567623,-188.07524611080802,1.0,0.6148651749764269,0.28616002312961497
2,poly3,,-203.49151671690612,-202.2726408920379,1.0,0.38910730381489134,0.35028183430769866
3,exp,,-173.76437618344207,-172.54550035857386,1.0,0.5410467543991138,0.12359084480278149
4,log,,-188.74256377332523,-187.52368794845702,1.0,0.4448131052840852,0.434560395031761
5,power,,6.75855417699016,7.977430001858361,0.9692264417851595,0.8378488441755377,0.9404182152332082
6,mult,,-179.356304590832,-178.1374287659638,1.0,0.7072990624568398,0.6521293459430861
7,hybrid_mult,,-300.72165292660435,-299.50277710173617,1.0,0.004643326191764718,0.08364866132709248
8,am,,23.397518468095328,24.616394292963527,0.14213333959238716,0.6524382628588642,0.7833246843791022
9,gm,,23.51512829057763,24.734004115445828,0.12171543727439715,0.7594647509406407,0.8753574256131371
10,hm,,23.34967565648379,24.56855148135199,0.150302743142551,0.886396737652681,0.9960395323568119
