,models,Normality p-value,AIC of centered model,BIC of centered model,R2 coefficient,Homocedasticity Levene p-value,Homocedasticity bartlett p-value
0,linear,,-102.82239075150903,-102.62516617417282,1.0,0.0,
1,poly2,,-107.34322496760299,-107.14600039026678,1.0,0.0,
2,poly3,,-124.77190174463429,-124.57467716729808,1.0,0.0,
3,exp,,-82.70221154632165,-82.50498696898543,0.9999999999999989,0.0,
4,log,,-128.16447835648515,-127.96725377914893,1.0,0.0,
5,power,,12.197759826064557,12.394984403400777,0.9384499061773109,0.0,
6,mult,,-76.90863921352233,-76.71141463618612,0.9999999999999922,0.0,
7,hybrid_mult,,-102.35254690312328,-102.15532232578707,1.0,0.0,
8,am,,19.72234234953394,19.919566926870157,0.24399684348743989,0.0,
9,gm,,19.78153693994062,19.978761517276837,0.22893160307970117,0.0,
10,hm,,19.869832508994527,20.067057086330745,0.20590036525599598,0.0,
