,models,Normality p-value,AIC of centered model,BIC of centered model,R2 coefficient,Homocedasticity Levene p-value,Homocedasticity bartlett p-value
0,linear,,-8.677157766420398,-8.479933189084178,0.9978134110787172,0.0,
1,poly2,,-8.677157766420398,-8.479933189084178,0.9978134110787172,0.0,
2,poly3,,-8.677157765855432,-8.479933188519212,0.9978134110783055,0.0,
3,exp,,-8.677157766420398,-8.479933189084178,0.9978134110787172,0.0,
4,log,,-8.677157766420397,-8.479933189084177,0.9978134110787172,0.0,
5,power,,-8.677157766420397,-8.479933189084177,0.9978134110787172,0.0,
6,mult,,-8.677157766420397,-8.479933189084177,0.9978134110787172,0.0,
7,hybrid_mult,,-8.677157766420398,-8.479933189084178,0.9978134110787172,0.0,
8,am,,-8.677157766420398,-8.479933189084178,0.9978134110787172,0.0,
9,gm,,-8.677157766420398,-8.479933189084178,0.9978134110787172,0.0,
10,hm,,-8.677157766420398,-8.479933189084178,0.9978134110787172,0.0,
