,models,Normality p-value,AIC of centered model,BIC of centered model,R2 coefficient,Homocedasticity Levene p-value,Homocedasticity bartlett p-value
0,linear,,9.498688735882508,10.71756456075071,0.43462643678160917,0.9877005126147371,0.8704318625278089
1,poly2,,9.498688735882508,10.71756456075071,0.43462643678160917,0.9877005127893679,0.8704318627318989
2,poly3,,9.498688735882508,10.71756456075071,0.43462643678160917,0.9877005126154396,0.8704318625286269
3,exp,,9.52869169865882,10.747567523527021,0.4312236612628332,0.9495076724248775,0.9408916510446622
4,log,,9.498688735882508,10.71756456075071,0.43462643678160917,0.9877005126157394,0.8704318625289789
5,power,,9.498688735882508,10.71756456075071,0.43462643678160917,0.9877005126146055,0.8704318625276561
6,mult,,9.498688735882508,10.71756456075071,0.43462643678160917,0.9877005126146055,0.8704318625276561
7,hybrid_mult,,9.498688735882508,10.71756456075071,0.43462643678160917,0.9877005126147225,0.8704318625278012
8,am,,9.498688735882508,10.71756456075071,0.43462643678160917,0.9877005126147371,0.8704318625278089
9,gm,,9.498688735882508,10.71756456075071,0.43462643678160917,0.9877005126147371,0.8704318625278089
10,hm,,9.498688735882508,10.71756456075071,0.43462643678160917,0.9877005126147445,0.8704318625278166
