,models,Normality p-value,AIC of centered model,BIC of centered model,R2 coefficient,Homocedasticity Levene p-value,Homocedasticity bartlett p-value
0,linear,,8.973003945859343,10.191879770727542,0.21700004024448138,0.9012163197730705,0.9780091443612301
1,poly2,,8.958723509326639,10.17759933419484,0.2192331659715293,0.9894280239145435,0.8621051088280183
2,poly3,,8.957799232117493,10.176675056985694,0.21937748163042048,0.9885094103725296,0.8617738910349264
3,exp,,9.027987799522865,10.246863624391066,0.20834205149464913,0.8055569961459659,0.9217180628375751
4,log,,8.974491286496203,10.193367111364404,0.21676708806651412,0.8954351391536396,0.9840682297017197
5,power,,8.990006959840198,10.208882784708397,0.2143328359109954,0.8410306948642499,0.9589578298036568
6,mult,,8.990006959840198,10.208882784708397,0.2143328359109954,0.8410306948642499,0.9589578298036568
7,hybrid_mult,,8.977763403266104,10.196639228134305,0.2162543544031963,0.8831315907466738,0.9969719522164618
8,am,,8.973003945859343,10.191879770727542,0.21700004024448138,0.9012163197730705,0.9780091443612301
9,gm,,8.973003945859343,10.191879770727542,0.21700004024448138,0.9012163197730705,0.9780091443612301
10,hm,,8.97300394585913,10.19187977072733,0.21700004024451502,0.9012162288821532,0.9780092428939335
