,models,Normality p-value,AIC of centered model,BIC of centered model,R2 coefficient,Homocedasticity Levene p-value,Homocedasticity bartlett p-value
0,linear,,-3.5983567989978447,-3.401132221661625,0.9881150081488312,0.0,
1,poly2,,-5.778162160255045,-5.580937582918825,0.99425301926069,0.0,
2,poly3,,-7.617508088593082,-7.420283511256862,0.9968870858330031,0.0,
3,exp,,5.575333289595314,5.772557866931534,0.747054737549343,0.0,
4,log,,-3.7089392823645584,-3.511714705028339,0.9885451228945652,0.0,
5,power,,-4.9839325321900585,-4.7867079548538385,0.9925111306057183,0.0,
6,mult,,-4.9839325321900585,-4.7867079548538385,0.9925111306057183,0.0,
7,hybrid_mult,,-4.044074112332316,-3.8468495349960965,0.9897558790273109,0.0,
8,am,,-3.5983567989978447,-3.401132221661625,0.9881150081488312,0.0,
9,gm,,-3.5983567989978447,-3.401132221661625,0.9881150081488312,0.0,
10,hm,,-3.598356798997858,-3.4011322216616384,0.9881150081488312,0.0,
