,models,Normality p-value,AIC of centered model,BIC of centered model,R2 coefficient,Homocedasticity Levene p-value,Homocedasticity bartlett p-value
0,linear,,18.513308470479195,18.710533047815414,0.4947596490965729,0.0,
1,poly2,,18.47666256649532,18.67388714383154,0.5008937708785901,0.0,
2,poly3,,18.441362298428277,18.638586875764496,0.506732214968241,0.0,
3,exp,,18.549731502802317,18.746956080138535,0.4885881321343841,0.0,
4,log,,18.50139449165327,18.698619068989487,0.49676214446437605,0.0,
5,power,,18.53690219244647,18.734126769782687,0.4907704829899304,0.0,
6,mult,,18.53690219244647,18.734126769782687,0.4907704829899304,0.0,
7,hybrid_mult,,20.549017679514044,20.746242256850262,0.004142679534113958,0.0,
8,am,,18.513308470479195,18.710533047815414,0.4947596490965729,0.0,
9,gm,,18.513308470479195,18.710533047815414,0.4947596490965729,0.0,
10,hm,,18.5133084704792,18.710533047815417,0.49475964909657244,0.0,
