,models,Normality p-value,AIC of centered model,BIC of centered model,R2 coefficient,Homocedasticity Levene p-value,Homocedasticity bartlett p-value
0,linear,,7.656568458489449,7.853793035825669,0.4938069249930416,0.0,
1,poly2,,-187.41610523167049,-187.21888065433427,1.0,0.0,
2,poly3,,-113.16362880459329,-112.96640422725707,1.0,0.0,
3,exp,,6.928438097323028,7.125662674659248,0.6028920940011354,0.0,
4,log,,7.258214189155002,7.455438766491222,0.5567502365763943,0.0,
5,power,,6.29432245211257,6.491547029448789,0.6785518788844239,0.0,
6,mult,,6.29432245211257,6.491547029448789,0.6785518788844239,0.0,
7,hybrid_mult,,6.646151552707749,6.843376130043968,0.6385540435326913,0.0,
8,am,,7.656568458489449,7.853793035825669,0.4938069249930416,0.0,
9,gm,,7.656568458489449,7.853793035825669,0.4938069249930416,0.0,
10,hm,,7.656568458489451,7.853793035825671,0.49380692499304124,0.0,
