,models,Normality p-value,AIC of centered model,BIC of centered model,R2 coefficient,Homocedasticity Levene p-value,Homocedasticity bartlett p-value
0,linear,,20.53273012794553,20.72995470528175,0.009534721582952654,0.0,
1,poly2,,4.319811022553894,4.5170355998901135,0.9955457065892173,0.0,
2,poly3,,-101.42828556120088,-101.23106098386467,1.0,0.0,
3,exp,,20.53460750914166,20.73183208647788,0.008914700637535744,0.0,
4,log,,20.483499040397326,20.680723617733545,0.025655976258437407,0.0,
5,power,,20.489198520463976,20.686423097800194,0.023803131993783477,0.0,
6,mult,,20.489198520463976,20.686423097800194,0.023803131993783477,0.0,
7,hybrid_mult,,20.551301851240595,20.748526428576813,0.003384154425461916,0.0,
8,am,,20.53273012794553,20.72995470528175,0.009534721582952654,0.0,
9,gm,,20.53273012794553,20.72995470528175,0.009534721582952654,0.0,
10,hm,,20.53273012794553,20.72995470528175,0.009534721582952654,0.0,
